Model,Steps,BestMeanReward,ClockTime
a2c,160000,9360.0,2023-04-25 11:45:04.164137
a2c,320000,17540.0,2023-04-25 11:51:17.053251
a2c,640000,47100.0,2023-04-25 12:00:30.112449
a2c,960000,62020.0,2023-04-25 12:09:27.824838
a2c,1440000,62440.0,2023-04-25 12:27:56.311004
a2c,2080000,70060.0,2023-04-25 12:49:32.272543
a2c,2720000,87180.0,2023-04-25 13:11:23.149361
a2c,3040000,94060.0,2023-04-25 13:20:20.566507
a2c,3680000,96300.0,2023-04-25 13:35:33.514702
a2c,4640000,97320.0,2023-04-25 13:53:48.151099
a2c,4960000,101360.0,2023-04-25 14:02:43.556193
a2c,5440000,103300.0,2023-04-25 14:10:49.806533
a2c,6720000,103800.0,2023-04-25 14:32:35.679894
a2c,7520000,108600.0,2023-04-25 14:46:45.600007
