time/iterations,time/time_elapsed,train/n_updates,train/explained_variance,train/value_loss,time/total_timesteps,train/policy_loss,time/fps,train/entropy_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
100,8,99,0.064689040184021,0.1309768408536911,8000,0.30826854705810547,978,-2.197223424911499,0.0007,,,,
200,14,199,0.20158052444458008,0.048867352306842804,16000,0.1255619376897812,1072,-2.197211980819702,0.0007,,,,
300,21,299,-0.007331132888793945,0.12154202908277512,24000,0.261425644159317,1120,-2.1971805095672607,0.0007,1493.0,3600.0,,
400,27,399,0.0189896821975708,0.08381026238203049,32000,0.14072608947753906,1145,-2.1970067024230957,0.0007,1751.5,4500.0,,
500,34,499,0.19666004180908203,0.10570003092288971,40000,0.20107939839363098,1148,-2.19586181640625,0.0007,2128.8,5280.0,,
600,40,599,0.33532363176345825,0.1025494858622551,48000,0.15311498939990997,1180,-2.1874074935913086,0.0007,2371.0,5920.0,,
700,47,699,0.5990208983421326,0.03723304346203804,56000,-0.0533347986638546,1168,-2.1559293270111084,0.0007,2522.4166666666665,6133.333333333333,,
800,53,799,-0.9360774755477905,0.2121572047472,64000,-0.25954240560531616,1185,-2.1474609375,0.0007,2768.8125,6806.25,,
900,60,899,0.648258626461029,0.01373976655304432,72000,0.006177748087793589,1183,-2.1226003170013428,0.0007,2849.9411764705883,7064.705882352941,,
1000,67,999,0.04687613248825073,0.6717653274536133,80000,-0.5145628452301025,1179,-1.999410629272461,0.0007,2822.0,6942.105263157895,,
1100,74,1099,0.9101584926247597,0.029403626918792725,88000,-0.023751528933644295,1174,-1.821894645690918,0.0007,2824.714285714286,6852.380952380952,,
1200,81,1199,0.8268055617809296,0.09184735268354416,96000,0.21079562604427338,1177,-1.8913249969482422,0.0007,2803.76,6852.0,,
1300,87,1299,0.8061658442020416,0.040030792355537415,104000,0.05067770555615425,1191,-1.9713557958602905,0.0007,2873.5,7223.333333333333,,
1400,94,1399,0.9162217900156975,0.045290641486644745,112000,0.024450602009892464,1186,-1.9590179920196533,0.0007,2866.53125,7337.5,,
1500,101,1499,0.9280068352818489,0.0942712277173996,120000,-0.19886593520641327,1182,-1.6092960834503174,0.0007,2895.0882352941176,7520.588235294118,,
1600,108,1599,0.8073343932628632,0.626112163066864,128000,-0.19078019261360168,1179,-1.5037791728973389,0.0007,2877.057142857143,7628.571428571428,,
1700,114,1699,0.9763316791504622,0.08575836569070816,136000,0.08587758988142014,1187,-1.6828655004501343,0.0007,2828.2,8135.0,,
1800,121,1799,0.9872889081016183,0.21417537331581116,144000,-0.4094317555427551,1186,-1.3739463090896606,0.0007,2758.186046511628,8409.302325581395,,
1900,128,1899,0.9784382805228233,0.09370256960391998,152000,-0.24962253868579865,1182,-1.7144880294799805,0.0007,2832.5,9300.0,,
,,1999,0.9396695718169212,0.42560824751853943,160000,0.3416639566421509,,-1.304324984550476,0.0007,,,3927.2,9360.0
2000,173,,,,160000,,923,,,2866.795918367347,10267.34693877551,,
2100,179,2099,0.9970113011077046,0.057814694941043854,168000,-0.07900752872228622,935,-1.135021448135376,0.0007,3005.4814814814813,9724.074074074075,,
2200,186,2199,0.9243610948324203,0.34380924701690674,176000,0.41097965836524963,942,-1.9132400751113892,0.0007,3005.4814814814813,9724.074074074075,,
2300,193,2299,0.4324280619621277,5.521055221557617,184000,-0.28146621584892273,948,-0.5508691668510437,0.0007,3092.2950819672133,9167.213114754099,,
2400,200,2399,0.9623986221849918,0.7164230942726135,192000,-0.2431611567735672,955,-1.3528996706008911,0.0007,3092.2950819672133,9167.213114754099,,
