rollout/ep_rew_mean,train/explained_variance,train/n_updates,rollout/ep_len_mean,train/policy_loss,time/fps,time/time_elapsed,time/total_timesteps,train/entropy_loss,time/iterations,train/learning_rate,train/value_loss,eval/mean_reward,eval/mean_ep_length
7.4714285714285715,0.05726248025894165,99,438.0285714285714,0.22241245210170746,394,20,8000,-1.608761191368103,100,0.0007,0.16295696794986725,,
7.96,-0.0237959623336792,199,425.68,-0.1700548380613327,399,40,16000,-1.601636528968811,200,0.0007,0.18703129887580872,,
7.99,0.09239012002944946,299,392.54,0.23652434349060059,397,60,24000,-1.5820071697235107,300,0.0007,0.3076314628124237,,
8.95,0.020748615264892578,399,374.21,-0.07939300686120987,393,81,32000,-1.5107334852218628,400,0.0007,0.246300607919693,,
9.83,0.05212295055389404,499,350.36,0.25107964873313904,387,103,40000,-1.4073070287704468,500,0.0007,0.4374235272407532,,
10.47,0.09010815620422363,599,347.56,0.1236627846956253,390,123,48000,-1.267844319343567,600,0.0007,0.34286949038505554,,
11.6,-0.13233697414398193,699,355.2,-0.048442598432302475,395,141,56000,-1.224392294883728,700,0.0007,1.1620798110961914,,
11.62,-0.08399796485900879,799,351.43,0.06899207830429077,392,162,64000,-1.0877106189727783,800,0.0007,0.9490723609924316,,
12.34,0.012955546379089355,899,365.71,0.1885586977005005,394,182,72000,-0.948137104511261,900,0.0007,0.6829895377159119,,
12.74,0.07934838533401489,999,379.67,-0.24799220263957977,396,201,80000,-1.0417200326919556,1000,0.0007,0.6683352589607239,,
12.36,0.0008523464202880859,1099,365.86,0.030573803931474686,397,221,88000,-1.1576381921768188,1100,0.0007,0.5139777660369873,,
12.64,-0.020061373710632324,1199,360.66,-0.5510980486869812,397,241,96000,-0.9878076910972595,1200,0.0007,1.7296113967895508,,
12.91,0.03900730609893799,1299,363.01,-0.08549564331769943,397,261,104000,-1.0285816192626953,1300,0.0007,1.0315183401107788,,
13.2,0.13189595937728882,1399,366.85,-0.04132847115397453,397,281,112000,-1.1728847026824951,1400,0.0007,0.735841691493988,,
12.54,0.06735426187515259,1499,361.61,-0.08104922622442245,396,302,120000,-0.9355072379112244,1500,0.0007,0.43366894125938416,,
12.74,0.09513729810714722,1599,369.53,0.17869307100772858,395,323,128000,-0.9823831915855408,1600,0.0007,0.5652032494544983,,
13.83,0.17365425825119019,1699,381.15,0.09140755981206894,394,345,136000,-0.9926807284355164,1700,0.0007,0.48780426383018494,,
13.7,-0.10028254985809326,1799,367.4,0.20658473670482635,393,365,144000,-0.9025368094444275,1800,0.0007,0.44422921538352966,,
13.93,0.25229471921920776,1899,380.9,0.2843710482120514,393,385,152000,-0.8761863708496094,1900,0.0007,0.7811147570610046,,
,0.24551784992218018,1999,,0.22301457822322845,,,160000,-1.010445237159729,,0.0007,1.0935113430023193,11.8,719.4
14.85,,,404.19,,388,412,160000,,2000,,,,
14.92,0.03253811597824097,2099,412.43,0.026483211666345596,389,431,168000,-0.8809897303581238,2100,0.0007,0.9355769157409668,,
15.14,-0.08349502086639404,2199,410.83,-0.06631343811750412,390,450,176000,-0.748155415058136,2200,0.0007,0.8377304077148438,,
14.55,0.2880026698112488,2299,400.63,-0.042088307440280914,392,469,184000,-0.9664691090583801,2300,0.0007,0.6355781555175781,,
15.06,0.1528812050819397,2399,415.46,-0.8739986419677734,393,488,192000,-0.7539076209068298,2400,0.0007,4.449493408203125,,
