Model,Steps,BestMeanReward,ClockTime
a2c,160000,3.2,2023-04-21 16:14:38.527031
a2c,320000,6.0,2023-04-21 16:17:54.162841
a2c,480000,12.6,2023-04-21 16:20:52.631532
a2c,640000,13.8,2023-04-21 16:23:52.732202
a2c,960000,16.2,2023-04-21 16:29:52.376599
a2c,1280000,22.0,2023-04-21 16:35:41.180659
a2c,1600000,26.6,2023-04-21 16:41:40.249361
a2c,1760000,29.2,2023-04-21 16:44:39.393568
a2c,1920000,37.2,2023-04-21 16:47:42.952405
a2c,2080000,40.6,2023-04-21 16:50:53.672473
a2c,2240000,42.8,2023-04-21 16:54:00.938764
a2c,2560000,49.2,2023-04-21 17:00:14.600757
a2c,2880000,51.0,2023-04-21 17:06:08.942489
a2c,3040000,71.4,2023-04-21 17:09:05.715980
a2c,3840000,82.8,2023-04-21 17:24:26.511224
a2c,4160000,88.0,2023-04-21 17:30:46.738111
a2c,4480000,91.8,2023-04-21 17:37:12.089801
a2c,4640000,110.2,2023-04-21 17:40:09.533131
a2c,4960000,111.0,2023-04-21 17:46:19.760539
a2c,5440000,135.4,2023-04-21 17:55:18.240924
a2c,6080000,165.4,2023-04-21 18:07:07.966965
a2c,6560000,174.2,2023-04-21 18:16:25.268309
a2c,6720000,205.0,2023-04-21 18:19:30.829172
a2c,8160000,232.2,2023-04-21 18:46:28.227785
a2c,9600000,235.4,2023-04-21 19:13:47.238249
