time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/policy_loss,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/value_loss,rollout/ep_len_mean,train/explained_variance,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
8000,100,762,10,0.14743395149707794,8.80952380952381,0.0007,99,0.0787191167473793,280.0952380952381,0.07964807748794556,-1.6090539693832397,,
16000,200,829,19,0.007545605301856995,9.574074074074074,0.0007,199,0.14172080159187317,288.037037037037,-0.12711882591247559,-1.6058489084243774,,
24000,300,860,27,-0.03204170987010002,9.623529411764705,0.0007,299,0.0378601960837841,282.3764705882353,0.0541195273399353,-1.594817042350769,,
32000,400,866,36,0.16170263290405273,9.8,0.0007,399,0.14426696300506592,273.24,0.011604666709899902,-1.5617570877075195,,
40000,500,870,45,-0.0620243139564991,10.11,0.0007,499,0.5190950632095337,258.69,-0.06600594520568848,-1.479477882385254,,
48000,600,872,55,0.01968567445874214,10.92,0.0007,599,0.08760024607181549,248.44,-0.45365118980407715,-1.3806661367416382,,
56000,700,877,63,-0.05918210744857788,11.65,0.0007,699,0.04793454334139824,240.27,0.00764012336730957,-1.2424474954605103,,
64000,800,875,73,0.02462085336446762,12.78,0.0007,799,0.16251054406166077,242.52,0.33419322967529297,-1.1693722009658813,,
72000,900,876,82,0.18949250876903534,13.29,0.0007,899,0.21520617604255676,240.05,0.4173279404640198,-1.3308786153793335,,
80000,1000,875,91,-0.07950635999441147,13.34,0.0007,999,0.3168654143810272,239.99,0.31964313983917236,-1.0336450338363647,,
88000,1100,869,101,0.1261111944913864,12.57,0.0007,1099,0.24349267780780792,233.53,0.28480565547943115,-1.2681282758712769,,
96000,1200,867,110,-0.1736438274383545,12.55,0.0007,1199,1.7926620244979858,232.62,0.11294817924499512,-0.8759705424308777,,
104000,1300,865,120,0.08671163767576218,12.53,0.0007,1299,0.2583167254924774,235.28,-0.3027307987213135,-0.8392030000686646,,
112000,1400,866,129,-0.2571418583393097,12.88,0.0007,1399,0.6541808247566223,237.11,-0.10470700263977051,-1.0275495052337646,,
120000,1500,866,138,0.030829280614852905,12.96,0.0007,1499,0.49340391159057617,237.48,0.15700650215148926,-0.891144871711731,,
128000,1600,867,147,0.04499256983399391,13.06,0.0007,1599,0.1004401445388794,233.42,0.7557278722524643,-0.9056397676467896,,
136000,1700,870,156,0.023390859365463257,13.93,0.0007,1699,0.15266786515712738,237.36,0.7334173619747162,-0.7586391568183899,,
144000,1800,871,165,0.08354397863149643,14.29,0.0007,1799,0.29306745529174805,237.07,0.45796728134155273,-1.0810445547103882,,
152000,1900,873,174,-0.067404605448246,14.1,0.0007,1899,0.12259312719106674,235.27,0.6100606620311737,-1.0765810012817383,,
160000,,,,0.11429331451654434,,0.0007,1999,0.15608885884284973,,0.4081472158432007,-1.1358776092529297,3.2,1546.6
160000,2000,760,210,,13.86,,,,233.72,,,,
168000,2100,766,219,0.06945852190256119,13.45,0.0007,2099,0.41780686378479004,354.19,0.2798295021057129,-1.1786298751831055,,
176000,2200,772,227,-0.2342020571231842,13.3,0.0007,2199,1.591620683670044,354.57,0.18729764223098755,-0.8369418382644653,,
184000,2300,776,236,-0.2017260044813156,15.17,0.0007,2299,0.3086499273777008,238.67,0.39962631464004517,-1.0491045713424683,,
192000,2400,781,245,0.0167014729231596,15.82,0.0007,2399,1.1247596740722656,240.93,0.15907692909240723,-0.896880567073822,,
200000,2500,784,254,-0.2010498046875,16.23,0.0007,2499,0.6844107508659363,243.2,0.5301831364631653,-1.0394678115844727,,
208000,2600,787,264,-0.1758839637041092,15.86,0.0007,2599,0.9766853451728821,242.18,0.4769101142883301,-0.9628028273582458,,
216000,2700,791,272,0.03309531509876251,16.26,0.0007,2699,0.24007466435432434,243.75,0.8315584063529968,-1.1024411916732788,,
224000,2800,795,281,0.13503171503543854,16.45,0.0007,2799,0.30384182929992676,245.47,0.8400330096483231,-1.3211497068405151,,
232000,2900,798,290,0.03186098858714104,16.85,0.0007,2899,0.09468547254800797,247.53,0.928270235657692,-1.2827991247177124,,
240000,3000,803,298,-0.005879506468772888,17.25,0.0007,2999,0.18434691429138184,248.91,0.8802974447607994,-1.1443065404891968,,
248000,3100,806,307,0.21190018951892853,17.2,0.0007,3099,0.5547145009040833,248.33,0.5678947269916534,-1.0828280448913574,,
256000,3200,809,316,-0.23179994523525238,16.59,0.0007,3199,1.9488369226455688,246.23,0.4545444846153259,-0.8274025321006775,,
264000,3300,812,325,0.103215791285038,16.48,0.0007,3299,0.1988110989332199,246.38,0.891509398818016,-1.147334098815918,,
272000,3400,814,334,0.0023400515783578157,17.0,0.0007,3399,0.21961665153503418,249.21,0.8279259502887726,-0.964099109172821,,
280000,3500,817,342,0.04769865423440933,17.64,0.0007,3499,0.2272978276014328,253.58,0.9212033525109291,-1.1458765268325806,,
288000,3600,819,351,-0.38174960017204285,18.23,0.0007,3599,0.6562589406967163,256.86,0.6584935784339905,-0.9599614143371582,,
296000,3700,822,359,0.023263877257704735,18.43,0.0007,3699,0.9771644473075867,257.37,0.6051612794399261,-0.9889381527900696,,
304000,3800,824,368,0.053437668830156326,17.59,0.0007,3799,0.42505237460136414,254.14,0.7640020400285721,-1.0406630039215088,,
312000,3900,827,377,-0.3043207824230194,17.63,0.0007,3899,1.080810546875,251.98,0.6034159958362579,-0.7817347049713135,,
320000,,,,0.16976617276668549,,0.0007,3999,0.35861000418663025,,0.8935461342334747,-0.944802463054657,6.0,1455.0
320000,4000,788,405,,17.94,,,,255.08,,,,
328000,4100,791,414,-0.13072888553142548,17.45,0.0007,4099,0.37477952241897583,324.79,0.6742780804634094,-1.0831680297851562,,
336000,4200,793,423,-0.20884311199188232,17.13,0.0007,4199,0.4049966037273407,323.36,0.7609618157148361,-0.9391496777534485,,
344000,4300,796,431,-0.19421234726905823,16.76,0.0007,4299,0.9110037088394165,267.43,0.780498132109642,-0.8966554999351501,,
352000,4400,798,440,-0.05767492204904556,17.64,0.0007,4399,0.21106170117855072,250.46,0.8704079836606979,-1.1136702299118042,,
