Model,Steps,BestMeanReward,ClockTime
a2c,40000,7.2,2023-04-20 09:03:51.243174
a2c,80000,14.4,2023-04-20 09:06:03.032645
a2c,120000,22.2,2023-04-20 09:08:16.736576
a2c,160000,32.0,2023-04-20 09:10:26.257727
a2c,200000,56.6,2023-04-20 09:12:36.318848
a2c,240000,63.2,2023-04-20 09:14:42.940969
a2c,400000,77.8,2023-04-20 09:23:11.098038
a2c,520000,82.0,2023-04-20 09:29:32.376102
a2c,720000,107.0,2023-04-20 09:39:55.583909
a2c,760000,130.2,2023-04-20 09:42:05.104401
a2c,800000,132.8,2023-04-20 09:44:11.386451
a2c,1000000,141.8,2023-04-20 09:54:54.468528
a2c,1080000,160.0,2023-04-20 09:59:11.025283
a2c,1120000,167.8,2023-04-20 10:01:20.634386
a2c,1320000,172.8,2023-04-20 10:12:08.899000
a2c,1840000,209.0,2023-04-20 10:39:38.648287
a2c,1960000,235.0,2023-04-20 10:46:00.628163
a2c,2120000,366.6,2023-04-20 10:54:38.596378
a2c,2320000,404.8,2023-04-20 11:05:16.919403
a2c,2840000,450.6,2023-04-20 11:33:00.349945
a2c,3240000,461.0,2023-04-20 11:54:36.812697
