time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,train/policy_loss,train/explained_variance,train/learning_rate,rollout/ep_len_mean,train/value_loss,time/fps,eval/mean_reward,eval/mean_ep_length
2000,100,7,11.7,-0.7514843344688416,99,-0.35448697209358215,-0.04609024524688721,0.0007,397.3,1.6649868488311768,250,,
4000,200,13,11.232558139534884,-0.6391696333885193,199,0.2693560719490051,-0.04269707202911377,0.0007,376.3720930232558,0.2756462097167969,288,,
6000,300,20,11.716417910447761,-0.6777829527854919,299,0.20882010459899902,0.5472237467765808,0.0007,371.0,0.4626666009426117,288,,
8000,400,27,11.955555555555556,-0.6601679921150208,399,-0.2588733732700348,0.4064830541610718,0.0007,376.1777777777778,1.2189689874649048,288,,
10000,500,34,11.8,-0.7461647987365723,499,0.1028040423989296,0.2232075333595276,0.0007,367.24,0.9957969784736633,290,,
12000,600,40,12.19,-0.6246318221092224,599,0.12345778197050095,0.4131746292114258,0.0007,365.7,0.6661524772644043,294,,
14000,700,46,12.33,-0.887965202331543,699,0.6132344007492065,0.28947150707244873,0.0007,365.97,0.785657525062561,298,,
16000,800,54,12.18,-0.7054503560066223,799,-0.10074920952320099,0.465238094329834,0.0007,364.61,0.1499386578798294,295,,
18000,900,61,12.76,-0.858315110206604,899,0.3187935948371887,-0.40705883502960205,0.0007,368.53,0.35166117548942566,293,,
20000,1000,67,12.73,-0.8239926695823669,999,-0.029755836352705956,0.7377650141716003,0.0007,366.34,0.22527189552783966,294,,
22000,1100,74,12.88,-0.8033254742622375,1099,-0.07253598421812057,0.3882046341896057,0.0007,368.81,1.165108561515808,296,,
24000,1200,80,13.21,-1.0546470880508423,1199,0.007061502430588007,0.1401965618133545,0.0007,376.69,0.5886930823326111,298,,
26000,1300,87,13.11,-0.9145366549491882,1299,0.007389807607978582,-0.1688249111175537,0.0007,374.39,2.6092519760131836,298,,
28000,1400,93,13.43,-1.0767861604690552,1399,-1.5732786655426025,-0.4690772294998169,0.0007,382.67,6.9878058433532715,298,,
30000,1500,100,13.59,-1.0746777057647705,1499,0.4725837707519531,0.3609192371368408,0.0007,384.29,0.40491023659706116,298,,
32000,1600,106,13.74,-0.9764893651008606,1599,0.1575823873281479,0.09105134010314941,0.0007,384.72,0.17677702009677887,299,,
34000,1700,113,13.94,-0.4790116846561432,1699,0.6226807236671448,-0.4846304655075073,0.0007,385.37,1.18120539188385,300,,
36000,1800,119,13.83,-0.7556614279747009,1799,-0.5834140777587891,-0.731529951095581,0.0007,384.64,2.81345272064209,300,,
38000,1900,126,13.86,-1.0418808460235596,1899,-0.5445142984390259,0.08790439367294312,0.0007,383.65,2.5210063457489014,300,,
40000,,,,-0.9024547934532166,1999,0.22654028236865997,-0.006277799606323242,0.0007,,0.9522558450698853,,7.2,1478.2
40000,2000,142,13.62,,,,,,380.58,,280,,
42000,2100,149,13.16,-0.7814859747886658,2099,0.0177592895925045,0.4689527153968811,0.0007,424.55,0.06974852085113525,281,,
44000,2200,155,13.59,-1.0009139776229858,2199,-1.4102481603622437,0.15106576681137085,0.0007,429.53,3.451617479324341,282,,
46000,2300,162,13.82,-0.9167082905769348,2299,0.001749679446220398,0.5604828298091888,0.0007,432.28,0.24799823760986328,283,,
48000,2400,168,14.18,-0.9494827389717102,2399,-0.8500993847846985,0.41334080696105957,0.0007,441.46,2.637014627456665,284,,
50000,2500,175,14.46,-0.9029939770698547,2499,0.06464912742376328,-0.9691222906112671,0.0007,391.95,0.7987857460975647,284,,
52000,2600,181,14.99,-0.773476243019104,2599,-1.0918880701065063,-0.18542230129241943,0.0007,403.34,3.8162553310394287,285,,
54000,2700,188,15.44,-0.8223754167556763,2699,0.13598306477069855,0.4591023325920105,0.0007,411.5,0.13985571265220642,286,,
56000,2800,194,14.93,-0.9627763628959656,2799,-0.3028092384338379,0.10050493478775024,0.0007,408.41,0.2981177866458893,287,,
58000,2900,201,14.9,-0.8593752980232239,2899,-0.39382439851760864,0.1849939227104187,0.0007,407.26,1.2156383991241455,288,,
60000,3000,207,15.27,-0.7766830325126648,2999,-0.6520141959190369,0.23716354370117188,0.0007,415.18,2.884737968444824,289,,
62000,3100,213,15.47,-0.7779891490936279,3099,0.21744637191295624,0.18350672721862793,0.0007,424.77,0.31574681401252747,290,,
64000,3200,219,15.77,-0.8580929040908813,3199,0.13754574954509735,0.3637966513633728,0.0007,428.92,0.4013785421848297,290,,
66000,3300,226,16.73,-0.774235725402832,3299,0.12887604534626007,0.2631850838661194,0.0007,445.25,0.27323418855667114,291,,
68000,3400,233,17.23,-0.6678409576416016,3399,0.11430960893630981,0.8324881345033646,0.0007,452.13,0.4986879527568817,291,,
70000,3500,239,17.47,-0.8305492401123047,3499,-0.4138033092021942,0.6867332756519318,0.0007,457.06,1.2241190671920776,292,,
72000,3600,245,17.65,-0.7196877598762512,3599,0.22009411454200745,0.014204561710357666,0.0007,460.09,0.688884437084198,292,,
74000,3700,252,18.32,-0.8250871896743774,3699,0.4080025851726532,0.4420504570007324,0.0007,464.53,0.5866718292236328,293,,
76000,3800,259,18.88,-0.6562700271606445,3799,-1.1243098974227905,0.28646451234817505,0.0007,476.74,9.443068504333496,293,,
78000,3900,265,18.85,-0.7310317754745483,3899,-1.2249935865402222,-0.16952788829803467,0.0007,479.1,4.078641891479492,293,,
80000,,,,-0.5016576051712036,3999,0.06441576033830643,0.3014681339263916,0.0007,,2.4230573177337646,,14.4,657.2
80000,4000,274,19.74,,,,,,496.83,,291,,
82000,4100,280,20.03,-0.6636332273483276,4099,-0.8215023875236511,0.5935588181018829,0.0007,503.01,4.813371181488037,291,,
84000,4200,287,20.15,-0.710575520992279,4199,-1.5794981718063354,0.1587868332862854,0.0007,507.92,3.808626890182495,292,,
86000,4300,294,21.18,-0.7562394142150879,4299,-0.6355311274528503,0.28328996896743774,0.0007,512.67,5.722117900848389,292,,
88000,4400,300,20.85,-0.6351252794265747,4399,0.391862154006958,-1.2603673934936523,0.0007,504.69,1.9622488021850586,292,,
90000,4500,306,21.15,-0.6899049282073975,4499,0.17815230786800385,0.6024177968502045,0.0007,511.72,1.5134366750717163,293,,
92000,4600,313,21.42,-0.7092035412788391,4599,0.3244501054286957,0.7597598433494568,0.0007,518.69,1.1993074417114258,293,,
94000,4700,319,21.67,-0.5393419861793518,4699,-0.02868657186627388,0.8499171137809753,0.0007,517.06,0.1809467077255249,293,,
96000,4800,326,22.16,-0.6598340272903442,4799,0.18636274337768555,0.7815922498703003,0.0007,524.36,1.1755685806274414,294,,
98000,4900,332,21.61,-0.6753897666931152,4899,-0.09395024180412292,0.2308482527732849,0.0007,527.37,2.8613572120666504,294,,
100000,5000,339,22.29,-0.6972144246101379,4999,-0.03358056768774986,-0.1508265733718872,0.0007,542.9,5.54526948928833,294,,
102000,5100,345,22.37,-0.38667598366737366,5099,-0.4675668179988861,0.33356374502182007,0.0007,549.19,1.834887146949768,295,,
104000,5200,351,22.44,-0.650580108165741,5199,0.47337332367897034,0.455951988697052,0.0007,562.47,2.3772084712982178,295,,
106000,5300,357,22.99,-0.5718393325805664,5299,-0.3058362901210785,-0.0317690372467041,0.0007,583.92,3.1727938652038574,296,,
108000,5400,364,22.86,-0.22147928178310394,5399,-0.107302725315094,0.8761752396821976,0.0007,597.33,0.38900360465049744,296,,
110000,5500,370,23.27,-0.3149595558643341,5499,-0.13733623921871185,0.7087196111679077,0.0007,620.08,2.0225608348846436,296,,
112000,5600,377,23.57,-0.5490882992744446,5599,0.1868131160736084,0.42297011613845825,0.0007,624.42,0.6315563321113586,297,,
