train/explained_variance,time/time_elapsed,train/policy_loss,rollout/ep_rew_mean,train/learning_rate,train/value_loss,rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,train/entropy_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
0.00428694486618042,7,0.2933556139469147,11.105263157894736,0.0007,0.3857090175151825,403.0,285,100,2000,-1.1104003190994263,99,,
0.015822529792785645,13,-0.2984054982662201,11.725,0.0007,2.339596748352051,390.2,294,200,4000,-0.7605129480361938,199,,
-1.064512014389038,21,0.2996583580970764,12.292307692307693,0.0007,0.9171118140220642,385.55384615384617,285,300,6000,-0.6210730671882629,299,,
0.14435184001922607,28,-0.33914849162101746,12.517241379310345,0.0007,0.7244988679885864,382.62068965517244,283,400,8000,-1.1028259992599487,399,,
0.11577832698822021,35,-0.22535891830921173,12.82,0.0007,1.0648186206817627,375.27,282,500,10000,-1.0290855169296265,499,,
0.03171771764755249,42,-0.4507453441619873,12.92,0.0007,1.7716360092163086,370.21,281,600,12000,-0.9619121551513672,599,,
0.42594975233078003,49,-0.31780967116355896,12.81,0.0007,1.498016595840454,364.96,282,700,14000,-0.9923556447029114,699,,
0.27381545305252075,57,0.07587125152349472,12.78,0.0007,0.375908225774765,362.28,280,800,16000,-0.9336938858032227,799,,
-0.08237326145172119,64,0.6562747359275818,12.58,0.0007,1.1293166875839233,360.4,280,900,18000,-1.0440701246261597,899,,
0.0866197943687439,71,-0.4635924994945526,12.42,0.0007,2.94195556640625,362.27,280,1000,20000,-0.744464635848999,999,,
0.2886228561401367,78,-0.06211763247847557,12.98,0.0007,1.813062310218811,371.46,281,1100,22000,-0.8811281323432922,1099,,
0.12161964178085327,85,-0.06539622694253922,13.14,0.0007,1.1042309999465942,372.6,281,1200,24000,-0.9225670099258423,1199,,
0.36188042163848877,92,-0.8276058435440063,13.46,0.0007,3.076566457748413,377.42,281,1300,26000,-1.0438369512557983,1299,,
0.624543160200119,99,0.164264976978302,13.35,0.0007,0.12875984609127045,370.55,281,1400,28000,-1.259142279624939,1399,,
0.10161101818084717,106,-0.38959819078445435,13.49,0.0007,0.6855050921440125,374.85,280,1500,30000,-1.1242632865905762,1499,,
0.02531963586807251,113,0.3676884174346924,13.67,0.0007,0.35609567165374756,379.14,281,1600,32000,-0.9936985373497009,1599,,
0.22337818145751953,121,-0.5402559638023376,13.48,0.0007,1.590193748474121,375.03,280,1700,34000,-0.9998941421508789,1699,,
0.4653739333152771,128,0.2620435655117035,13.71,0.0007,0.33805540204048157,376.63,281,1800,36000,-1.0613728761672974,1799,,
0.38692420721054077,135,0.5792904496192932,13.94,0.0007,0.8097705245018005,379.14,281,1900,38000,-1.1416748762130737,1899,,
0.5551462471485138,,-0.1506669819355011,,0.0007,0.511544406414032,,,,40000,-0.9884176254272461,1999,1448.6,7.6
,150,,13.54,,,370.14,266,2000,40000,,,,
0.06649225950241089,157,0.34415876865386963,13.76,0.0007,0.4875269830226898,387.46,266,2100,42000,-0.8875063061714172,2099,,
0.2197197675704956,164,-0.01679655909538269,13.94,0.0007,0.8679570555686951,392.8,266,2200,44000,-0.9868588447570801,2199,,
0.3243687152862549,171,0.24539576470851898,13.96,0.0007,0.5567446947097778,395.72,267,2300,46000,-0.8947861790657043,2299,,
0.33715713024139404,178,-0.06997322291135788,13.92,0.0007,0.1635427623987198,401.68,268,2400,48000,-0.8836469650268555,2399,,
-0.29470932483673096,185,-0.14023777842521667,13.77,0.0007,1.1026920080184937,385.82,269,2500,50000,-0.9061967730522156,2499,,
0.06403237581253052,192,-0.19738301634788513,13.62,0.0007,1.0582597255706787,385.45,269,2600,52000,-1.0490058660507202,2599,,
-1.1888773441314697,199,0.5506055951118469,13.79,0.0007,1.611038088798523,389.1,270,2700,54000,-0.9748069643974304,2699,,
0.012704253196716309,206,0.08083546161651611,14.08,0.0007,0.09488111734390259,388.85,271,2800,56000,-0.9532809257507324,2799,,
0.3598286509513855,213,-0.28490880131721497,14.34,0.0007,0.7316545844078064,391.93,272,2900,58000,-0.8083488345146179,2899,,
0.1816006302833557,219,0.30462172627449036,15.42,0.0007,0.6379846930503845,397.79,273,3000,60000,-0.9483057260513306,2999,,
0.7349042892456055,226,-0.5426978468894958,15.75,0.0007,1.2084015607833862,406.38,274,3100,62000,-0.7719466686248779,3099,,
-2.378798723220825,231,0.677534818649292,16.42,0.0007,1.690442681312561,411.81,276,3200,64000,-0.8409057855606079,3199,,
0.778596818447113,237,0.23908939957618713,17.17,0.0007,0.2600777745246887,429.9,277,3300,66000,-0.6980080604553223,3299,,
-0.4907107353210449,244,0.24027593433856964,17.84,0.0007,0.34700652956962585,448.17,278,3400,68000,-0.7367691397666931,3399,,
0.5145191550254822,251,-0.0066123963333666325,18.52,0.0007,0.2868598997592926,465.88,278,3500,70000,-0.5640270113945007,3499,,
-2.9157021045684814,258,0.9653123021125793,18.32,0.0007,1.0571759939193726,473.66,279,3600,72000,-0.5848328471183777,3599,,
0.048835158348083496,264,-0.523029625415802,18.78,0.0007,4.468395233154297,489.57,279,3700,74000,-0.7115834951400757,3699,,
-0.13648104667663574,271,0.3153398633003235,18.89,0.0007,0.8019254803657532,497.46,280,3800,76000,-0.7135961651802063,3799,,
0.15387773513793945,278,0.31871339678764343,18.57,0.0007,0.4421686828136444,492.63,280,3900,78000,-0.7393365502357483,3899,,
0.4073060154914856,,0.6431542038917542,,0.0007,1.3041399717330933,,,,80000,-0.6970213651657104,3999,765.0,19.2
,288,,18.93,,,497.75,277,4000,80000,,,,
0.786219134926796,295,-0.06305979937314987,19.05,0.0007,1.6057636737823486,512.53,277,4100,82000,-0.20324456691741943,4099,,
0.5419951975345612,301,0.3012407720088959,19.63,0.0007,1.0558140277862549,532.95,278,4200,84000,-0.6568682789802551,4199,,
0.14269649982452393,308,-0.7179900407791138,20.58,0.0007,3.8553435802459717,557.51,279,4300,86000,-0.650221049785614,4299,,
0.1931288242340088,314,-0.7127295732498169,20.78,0.0007,3.7973954677581787,563.44,279,4400,88000,-0.5601590275764465,4399,,
-0.21038854122161865,321,-0.09562592953443527,21.27,0.0007,3.6371147632598877,581.23,280,4500,90000,-0.5340740084648132,4499,,
0.3316648006439209,327,0.24743853509426117,22.59,0.0007,0.281394898891449,612.99,280,4600,92000,-0.2523486614227295,4599,,
0.47858530282974243,334,0.004204341676086187,23.11,0.0007,0.906180202960968,628.29,281,4700,94000,-0.3406708836555481,4699,,
0.3394845724105835,340,0.0584336519241333,23.85,0.0007,0.35696887969970703,641.95,281,4800,96000,-0.4884198307991028,4799,,
0.01459735631942749,347,-0.30816957354545593,24.67,0.0007,10.193574905395508,656.79,282,4900,98000,-0.32817670702934265,4899,,
-0.909204363822937,353,0.11951122432947159,25.16,0.0007,0.31926482915878296,669.23,282,5000,100000,-0.33639881014823914,4999,,
0.2759742736816406,359,-1.5479134321212769,25.82,0.0007,9.859825134277344,670.27,283,5100,102000,-0.31852617859840393,5099,,
0.4307476282119751,365,0.1569909304380417,26.02,0.0007,0.7148270606994629,689.35,284,5200,104000,-0.47362571954727173,5199,,
-0.07606697082519531,371,-0.7877116203308105,26.48,0.0007,11.286641120910645,702.66,285,5300,106000,-0.5588728189468384,5299,,
0.5314973592758179,377,0.0607370026409626,26.63,0.0007,0.1369299739599228,719.24,285,5400,108000,-0.27756062150001526,5399,,
0.5257599353790283,384,-1.689131736755371,26.35,0.0007,4.317969799041748,714.84,286,5500,110000,-0.30705761909484863,5499,,
0.2575473189353943,390,0.1948876827955246,26.77,0.0007,0.8084182739257812,730.33,287,5600,112000,-0.3780342936515808,5599,,
0.2433704137802124,396,-0.9009004831314087,26.95,0.0007,9.887239456176758,736.13,287,5700,114000,-0.22222256660461426,5699,,
0.3003905415534973,403,0.100224569439888,26.58,0.0007,0.3500005900859833,732.77,287,5800,116000,-0.3197297751903534,5799,,
0.8190842866897583,409,-0.31500762701034546,26.41,0.0007,0.3482193648815155,735.16,288,5900,118000,-0.4888242185115814,5899,,
-0.6891707181930542,,-0.0009926438797265291,,0.0007,0.5804829001426697,,,,120000,-0.2911292016506195,5999,862.6,30.8
,418,,26.19,,,740.87,286,6000,120000,,,,
0.6340939402580261,425,0.35191941261291504,26.62,0.0007,1.0564266443252563,748.22,286,6100,122000,-0.42937976121902466,6099,,
-1.5224509239196777,431,0.45757704973220825,26.91,0.0007,2.2242727279663086,762.94,287,6200,124000,-0.507290780544281,6199,,
0.1973785161972046,437,-1.0304185152053833,27.35,0.0007,9.143488883972168,768.01,287,6300,126000,-0.3667105734348297,6299,,
0.5188322067260742,444,-0.7197481989860535,28.22,0.0007,12.311050415039062,789.32,288,6400,128000,-0.41088414192199707,6399,,
0.5766907632350922,450,0.21458084881305695,29.66,0.0007,0.6565578579902649,798.33,288,6500,130000,-0.40606027841567993,6499,,
0.9510027915239334,457,-0.0037183829117566347,31.03,0.0007,0.024756554514169693,802.97,288,6600,132000,-0.28099825978279114,6599,,
0.46410202980041504,463,-0.5125454664230347,31.76,0.0007,9.28209114074707,811.87,288,6700,134000,-0.257587730884552,6699,,
0.911325216293335,469,-0.019086210057139397,32.62,0.0007,0.17280392348766327,822.36,289,6800,136000,-0.37643271684646606,6799,,
0.915532298386097,476,0.0841820240020752,33.31,0.0007,0.2871284484863281,824.51,289,6900,138000,-0.2508779466152191,6899,,
0.6346243619918823,482,0.11950384825468063,33.13,0.0007,0.1957203894853592,808.5,290,7000,140000,-0.39244118332862854,6999,,
0.5182914435863495,489,-0.06657963991165161,33.83,0.0007,0.5756677389144897,791.79,290,7100,142000,-0.3025178909301758,7099,,
0.7572165876626968,495,0.15872658789157867,34.31,0.0007,0.6065308451652527,789.66,290,7200,144000,-0.3434647023677826,7199,,
0.6408950090408325,502,0.01473707240074873,33.8,0.0007,0.3316466808319092,770.48,290,7300,146000,-0.23429565131664276,7299,,
0.10824453830718994,508,-0.2262350618839264,34.59,0.0007,1.3912814855575562,757.15,291,7400,148000,-0.3851390480995178,7399,,
0.7069659233093262,515,0.1493569165468216,33.88,0.0007,2.3002495765686035,755.1,291,7500,150000,-0.21918749809265137,7499,,
0.5997352600097656,521,0.09934891015291214,33.42,0.0007,0.4988425374031067,755.6,291,7600,152000,-0.21767452359199524,7599,,
0.13365411758422852,528,0.012052483856678009,34.09,0.0007,0.5255193710327148,757.04,291,7700,154000,-0.2312568873167038,7699,,
0.5945037305355072,534,0.22687016427516937,34.19,0.0007,1.0696519613265991,759.81,291,7800,156000,-0.3421406149864197,7799,,
0.45152413845062256,540,-0.23580339550971985,34.46,0.0007,6.68524694442749,765.64,292,7900,158000,-0.22185908257961273,7899,,
0.8179048746824265,,0.08770725876092911,,0.0007,0.5244225859642029,,,,160000,-0.17019863426685333,7999,844.6,35.4
,551,,34.42,,,768.31,290,8000,160000,,,,
-0.5773782730102539,557,-0.0384126678109169,34.53,0.0007,1.2221224308013916,771.34,290,8100,162000,-0.1808793991804123,8099,,
0.2864137291908264,564,-0.6986737251281738,35.27,0.0007,5.608052730560303,776.67,290,8200,164000,-0.15559163689613342,8199,,
0.31146806478500366,570,-0.020986516028642654,33.42,0.0007,7.350189208984375,787.0,290,8300,166000,-0.0613897442817688,8299,,
0.43608957529067993,576,0.2311764806509018,33.34,0.0007,2.105391025543213,788.89,291,8400,168000,-0.12052919715642929,8399,,
0.8633334189653397,583,0.10402941703796387,33.59,0.0007,1.1221431493759155,795.46,291,8500,170000,-0.13848920166492462,8499,,
0.4083020091056824,589,-0.7468356490135193,34.47,0.0007,6.306353569030762,799.68,291,8600,172000,-0.27876827120780945,8599,,
