Model,Steps,BestMeanReward,ClockTime
dqn,40000,2.6,2023-04-20 21:14:55.726004
dqn,120000,5.6,2023-04-20 21:17:57.562396
dqn,160000,7.0,2023-04-20 21:19:39.262260
dqn,280000,8.4,2023-04-20 21:24:48.450730
dqn,520000,9.6,2023-04-20 21:35:03.852224
dqn,640000,10.0,2023-04-20 21:40:11.812921
dqn,680000,10.2,2023-04-20 21:41:55.073448
dqn,720000,14.4,2023-04-20 21:43:42.346670
dqn,840000,15.6,2023-04-20 21:48:58.842434
dqn,920000,21.0,2023-04-20 21:52:28.027694
dqn,960000,30.0,2023-04-20 21:54:13.970279
dqn,1040000,34.2,2023-04-20 21:57:45.532199
dqn,1160000,36.4,2023-04-20 22:03:04.566982
dqn,1240000,37.2,2023-04-20 22:06:36.773768
dqn,1560000,46.4,2023-04-20 22:20:49.138718
dqn,1800000,49.0,2023-04-20 22:31:47.579649
dqn,1840000,60.4,2023-04-20 22:33:32.081364
dqn,2080000,77.6,2023-04-20 22:44:08.286399
dqn,2160000,80.8,2023-04-20 22:47:38.667985
dqn,2240000,87.2,2023-04-20 22:51:06.815870
dqn,2720000,111.4,2023-04-20 23:12:02.017164
dqn,2760000,116.4,2023-04-20 23:13:48.509806
dqn,2800000,130.4,2023-04-20 23:15:33.922410
dqn,3120000,136.4,2023-04-20 23:30:57.667140
dqn,3160000,139.6,2023-04-20 23:32:48.798217
dqn,3200000,145.8,2023-04-20 23:34:43.809985
dqn,3240000,161.2,2023-04-20 23:36:36.019414
