Model,Steps,BestMeanReward,ClockTime
dqn,40000,3.4,2023-04-21 16:13:21.562564
dqn,80000,4.2,2023-04-21 16:14:06.332932
dqn,160000,5.6,2023-04-21 16:16:01.681605
dqn,200000,9.4,2023-04-21 16:16:58.345977
dqn,480000,16.6,2023-04-21 16:23:57.633481
dqn,840000,16.8,2023-04-21 16:32:51.994783
dqn,1080000,23.4,2023-04-21 16:38:47.570175
dqn,1400000,31.0,2023-04-21 16:46:35.651490
dqn,1720000,33.4,2023-04-21 16:54:26.144941
dqn,1800000,35.4,2023-04-21 16:56:22.223472
dqn,2080000,35.6,2023-04-21 17:03:08.871108
dqn,2280000,39.2,2023-04-21 17:07:56.491144
dqn,2400000,44.8,2023-04-21 17:10:49.388094
dqn,2760000,52.8,2023-04-21 17:19:44.841218
dqn,3400000,60.0,2023-04-21 17:36:46.810760
dqn,4560000,60.4,2023-04-21 18:05:46.671419
dqn,5800000,71.6,2023-04-21 18:36:16.835333
dqn,6200000,82.6,2023-04-21 18:46:08.777458
dqn,6520000,84.6,2023-04-21 18:54:16.040181
dqn,7200000,90.8,2023-04-21 19:11:28.446719
dqn,8120000,98.8,2023-04-21 19:33:07.728219
dqn,8480000,104.8,2023-04-21 19:41:24.760217
dqn,8920000,111.6,2023-04-21 19:51:33.010452
dqn,9120000,124.2,2023-04-21 19:56:07.882621
dqn,9880000,158.6,2023-04-21 20:13:39.308349
