Model,Steps,BestMeanReward,ClockTime
dqn,40000,3.6,2023-04-20 09:02:59.939478
dqn,120000,6.8,2023-04-20 09:06:17.917658
dqn,160000,9.6,2023-04-20 09:07:55.038962
dqn,240000,10.4,2023-04-20 09:11:11.328544
dqn,280000,11.4,2023-04-20 09:12:48.933475
dqn,360000,12.0,2023-04-20 09:16:03.485040
dqn,400000,12.8,2023-04-20 09:17:42.106961
dqn,440000,15.0,2023-04-20 09:19:21.395140
dqn,480000,16.6,2023-04-20 09:21:00.798057
dqn,800000,17.4,2023-04-20 09:34:19.728145
dqn,1040000,22.0,2023-04-20 09:44:29.611861
dqn,1240000,26.2,2023-04-20 09:53:12.241805
dqn,1320000,28.8,2023-04-20 09:56:56.719943
dqn,1480000,29.0,2023-04-20 10:04:18.318735
dqn,1600000,33.2,2023-04-20 10:09:42.893505
dqn,1760000,34.8,2023-04-20 10:16:49.971839
dqn,2080000,35.4,2023-04-20 10:30:53.252163
dqn,2280000,37.6,2023-04-20 10:39:50.645120
dqn,2360000,38.2,2023-04-20 10:43:17.500670
dqn,2800000,40.6,2023-04-20 11:02:30.914209
dqn,4200000,41.6,2023-04-20 12:03:45.043777
dqn,4240000,41.8,2023-04-20 12:05:27.774317
dqn,4320000,44.2,2023-04-20 12:08:56.599771
dqn,4760000,44.8,2023-04-20 12:28:03.175990
dqn,4880000,47.0,2023-04-20 12:33:17.950019
dqn,5040000,47.2,2023-04-20 12:40:10.148099
dqn,5320000,52.4,2023-04-20 12:52:15.530087
dqn,5800000,54.4,2023-04-20 13:12:52.322767
dqn,6120000,68.2,2023-04-20 13:26:36.463381
dqn,6520000,72.0,2023-04-20 13:43:54.932150
dqn,7480000,82.6,2023-04-20 14:25:25.813170
dqn,7720000,85.2,2023-04-20 14:35:47.049322
dqn,7800000,111.4,2023-04-20 14:39:12.514250
dqn,8080000,116.4,2023-04-20 14:51:11.705271
dqn,8160000,139.8,2023-04-20 14:54:38.047409
dqn,8200000,151.0,2023-04-20 14:56:22.020240
dqn,8520000,155.2,2023-04-20 15:10:12.950657
dqn,8640000,161.2,2023-04-20 15:15:24.217401
dqn,8760000,180.6,2023-04-20 15:20:56.318932
dqn,9040000,185.0,2023-04-20 15:33:41.888678
dqn,9080000,193.4,2023-04-20 15:35:32.685311
dqn,9680000,203.6,2023-04-20 16:02:36.918996
dqn,9920000,226.6,2023-04-20 16:13:21.179597
dqn,10640000,231.0,2023-04-20 16:45:51.694437
dqn,10680000,247.2,2023-04-20 16:47:40.800818
dqn,10720000,257.0,2023-04-20 16:49:31.923387
dqn,11440000,265.4,2023-04-20 17:22:17.015454
dqn,11560000,278.6,2023-04-20 17:27:51.934274
dqn,13080000,296.8,2023-04-20 18:37:58.025336
dqn,14240000,313.2,2023-04-20 19:33:32.862861
