Model,Steps,BestMeanReward,ClockTime
ppo,40000,6.6,2023-04-21 17:22:19.476330
ppo,80000,7.8,2023-04-21 17:23:42.061755
ppo,240000,8.8,2023-04-21 17:29:48.763759
ppo,280000,9.0,2023-04-21 17:31:12.288622
ppo,320000,15.2,2023-04-21 17:32:32.532397
ppo,440000,23.6,2023-04-21 17:36:23.473131
ppo,600000,28.2,2023-04-21 17:41:35.369763
ppo,720000,30.8,2023-04-21 17:45:25.427926
ppo,760000,31.8,2023-04-21 17:46:40.549698
ppo,840000,33.2,2023-04-21 17:49:11.682984
ppo,1000000,42.6,2023-04-21 17:54:05.654835
ppo,1320000,48.4,2023-04-21 18:03:58.112631
ppo,1440000,59.6,2023-04-21 18:07:36.913786
ppo,1480000,66.6,2023-04-21 18:08:51.479249
ppo,1680000,77.4,2023-04-21 18:15:08.465371
ppo,1800000,93.2,2023-04-21 18:18:48.596619
ppo,1840000,108.8,2023-04-21 18:20:02.425985
ppo,2200000,111.6,2023-04-21 18:31:02.337598
ppo,2240000,118.0,2023-04-21 18:32:16.735627
ppo,2400000,119.8,2023-04-21 18:37:12.928401
ppo,2840000,125.4,2023-04-21 18:50:45.114180
ppo,3000000,126.0,2023-04-21 18:55:41.137049
ppo,3040000,137.2,2023-04-21 18:56:55.331406
ppo,3080000,138.4,2023-04-21 18:58:09.322775
ppo,3120000,158.4,2023-04-21 18:59:22.432273
ppo,3360000,189.2,2023-04-21 19:06:40.141357
ppo,3520000,193.2,2023-04-21 19:11:31.943796
ppo,3680000,193.6,2023-04-21 19:16:25.012752
ppo,3720000,201.0,2023-04-21 19:17:38.387051
ppo,4240000,206.4,2023-04-21 19:32:32.547012
ppo,4880000,242.6,2023-04-21 19:50:23.141441
ppo,6040000,296.8,2023-04-21 20:22:40.047756
ppo,9840000,322.8,2023-04-21 22:05:24.577217
