Model,Steps,BestMeanReward,ClockTime
ppo,40000,11.8,2023-04-20 09:04:11.046894
ppo,80000,25.6,2023-04-20 09:06:53.352579
ppo,120000,34.6,2023-04-20 09:09:34.315951
ppo,160000,37.2,2023-04-20 09:12:14.589093
ppo,200000,38.4,2023-04-20 09:14:48.806281
ppo,240000,42.6,2023-04-20 09:17:24.162000
ppo,280000,60.0,2023-04-20 09:19:59.200630
ppo,320000,91.2,2023-04-20 09:22:35.482058
ppo,440000,109.4,2023-04-20 09:30:13.251249
ppo,680000,120.4,2023-04-20 09:45:52.008990
ppo,720000,153.6,2023-04-20 09:48:21.291522
ppo,960000,154.0,2023-04-20 10:04:22.596443
ppo,1040000,163.2,2023-04-20 10:09:35.780478
ppo,1200000,183.2,2023-04-20 10:19:52.955588
ppo,1320000,187.8,2023-04-20 10:27:58.045473
ppo,1400000,199.4,2023-04-20 10:32:58.959663
ppo,1520000,201.8,2023-04-20 10:40:52.120192
ppo,3240000,204.4,2023-04-20 12:32:37.972697
