time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/learning_rate,train/clip_range,train/n_updates,train/entropy_loss,train/clip_fraction,train/explained_variance,train/loss,train/value_loss,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
1,330,8192,430.5769230769231,7.128205128205129,24,,,,,,,,,,,,
2,281,16384,427.02,8.03,58,0.012019791,0.0003,0.2,10,-1.598808668460697,0.1570556640625,-0.012478351593017578,0.062177520245313644,0.2526864125509746,-0.015878631742816653,,
3,271,24576,392.08,8.58,90,0.01163953,0.0003,0.2,20,-1.5706628888845444,0.16636962890625,0.27571338415145874,0.08387203514575958,0.3360652529867366,-0.018777827375379273,,
4,267,32768,382.56,9.98,122,0.012965863,0.0003,0.2,30,-1.5441951603628694,0.18565673828125,0.4235802888870239,0.1438429355621338,0.3237916431273334,-0.02611638004455017,,
,,40000,,,,0.014908975,0.0003,0.2,40,-1.4975006914697588,0.21387939453125,0.48977744579315186,0.09948306530714035,0.35493482407182453,-0.03086153721305891,11.8,493.4
5,260,40960,388.7,10.91,157,,,,,,,,,,,,
6,259,49152,392.55,12.12,189,0.018895289,0.0003,0.2,50,-1.4522967397235333,0.2411376953125,0.47924405336380005,0.17649537324905396,0.45982162225991485,-0.03552196666933014,,
7,258,57344,421.79,13.98,222,0.020298727,0.0003,0.2,60,-1.4279961438849569,0.24249267578125,0.4439069628715515,0.19339564442634583,0.5149268240435049,-0.03690756383803091,,
8,257,65536,441.67,15.68,254,0.025005225,0.0003,0.2,70,-1.3870827209204435,0.28994140625,0.4465022087097168,0.22766725718975067,0.6401714944513515,-0.0437477656021656,,
9,256,73728,471.36,17.62,287,0.026054025,0.0003,0.2,80,-1.34374815011397,0.296826171875,0.4797711968421936,0.16500917077064514,0.7561717342352494,-0.04249475768629054,,
,,80000,,,,0.029170686,0.0003,0.2,90,-1.2992378420196473,0.32255859375,0.4946497082710266,0.2281874716281891,0.9021304260706529,-0.04388323602834134,25.6,566.6
10,254,81920,498.12,19.12,322,,,,,,,,,,,,
11,253,90112,523.13,21.67,355,0.03738431,0.0003,0.2,100,-1.2408458372578024,0.3511474609375,0.5162883102893829,0.3412421643733978,0.967934959125705,-0.04444780781996087,,
12,252,98304,570.14,24.54,388,0.039080307,0.0003,0.2,110,-1.1919333216734231,0.3520751953125,0.5912137925624847,0.25758451223373413,0.9340214637573808,-0.04388562343738158,,
13,253,106496,613.08,27.06,420,0.038130242,0.0003,0.2,120,-1.1446168513037265,0.3530029296875,0.6489491760730743,0.24473810195922852,0.9540069496026262,-0.0438143820672849,,
14,254,114688,647.29,28.83,451,0.042266898,0.0003,0.2,130,-1.1144806917291135,0.3687255859375,0.6764646470546722,0.2741408944129944,0.8959613052196801,-0.04291358259833942,,
,,120000,,,,0.04801961,0.0003,0.2,140,-1.100035506905988,0.3647705078125,0.7307975590229034,0.20241552591323853,0.7685519575024955,-0.045495881565875605,34.6,666.8
15,252,122880,640.28,29.36,485,,,,,,,,,,,,
16,252,131072,617.27,28.84,518,0.046615764,0.0003,0.2,150,-1.064890345465392,0.36923828125,0.7668270468711853,0.22598692774772644,0.814926869655028,-0.041852749840472825,,
17,252,139264,650.16,31.23,551,0.05078359,0.0003,0.2,160,-1.0462413880974055,0.3760498046875,0.7632801830768585,0.22540229558944702,0.8026729789795354,-0.04518102373767761,,
18,252,147456,686.95,33.9,583,0.050855152,0.0003,0.2,170,-1.0122994766570628,0.37889404296875,0.7614544928073883,0.28883060812950134,0.7995390551281162,-0.04010941888409434,,
19,253,155648,697.74,34.44,615,0.056865204,0.0003,0.2,180,-0.9694212345406413,0.37796630859375,0.7989226877689362,0.28044968843460083,0.7336906589451246,-0.03986836546755512,,
,,160000,,,,0.057647422,0.0003,0.2,190,-0.938427468482405,0.37222900390625,0.8078216761350632,0.20561867952346802,0.7069291395833716,-0.043941849889233706,37.2,712.2
20,252,163840,696.5,35.04,648,,,,,,,,,,,,
21,252,172032,704.37,35.87,680,0.057351157,0.0003,0.2,200,-0.9173515766859055,0.379248046875,0.8545928597450256,0.26872366666793823,0.5621648227679543,-0.04329443876777077,,
22,253,180224,719.13,36.3,711,0.06023149,0.0003,0.2,210,-0.8972598533611744,0.36624755859375,0.8589417636394501,0.14005467295646667,0.5752523188479245,-0.040578715453011685,,
23,254,188416,723.61,36.47,741,0.06459757,0.0003,0.2,220,-0.8839094662573188,0.384228515625,0.8331027179956436,0.111800417304039,0.6500457036308944,-0.042551556284888645,,
24,254,196608,720.53,36.83,772,0.06632757,0.0003,0.2,230,-0.8658739644568414,0.3725830078125,0.8515446484088898,0.09193111956119537,0.5740236081881449,-0.04052805821993388,,
,,200000,,,,0.078342676,0.0003,0.2,240,-0.8433120761532337,0.3903564453125,0.8495319932699203,0.13296104967594147,0.5788648282177746,-0.04563244036544347,38.4,749.2
25,254,204800,722.94,37.29,805,,,,,,,,,,,,
26,254,212992,738.1,38.44,835,0.072066545,0.0003,0.2,250,-0.8189891612157225,0.38455810546875,0.827504351735115,0.07157684862613678,0.6688997105811723,-0.042783418080216504,,
27,254,221184,747.41,39.77,867,0.075317845,0.0003,0.2,260,-0.8146892583929002,0.38280029296875,0.8490804582834244,0.10975562036037445,0.5210346227453556,-0.04480052423168672,,
28,255,229376,751.56,40.41,898,0.076191194,0.0003,0.2,270,-0.7980257547460496,0.37900390625,0.8423208743333817,0.06965406239032745,0.5616438119555823,-0.044436000873247394,,
29,255,237568,739.66,43.03,929,0.08239058,0.0003,0.2,280,-0.7835143465548754,0.37613525390625,0.8592562228441238,0.004898436367511749,0.5102578213205561,-0.043861078747431746,,
,,240000,,,,0.08794522,0.0003,0.2,290,-0.7666667867917567,0.3794921875,0.8147232830524445,0.07306146621704102,0.5612777299480513,-0.046225581299950136,42.6,784.4
30,255,245760,751.35,45.68,963,,,,,,,,,,,,
31,255,253952,752.24,44.98,993,0.08973835,0.0003,0.2,300,-0.7373393738642335,0.37623291015625,0.8618951290845871,0.07354598492383957,0.45952727005351335,-0.046558410260331584,,
32,255,262144,743.91,44.79,1024,0.07563827,0.0003,0.2,310,-0.7253820701502264,0.35438232421875,0.8651704639196396,0.05664016306400299,0.49911970958928575,-0.0451710958062904,,
33,256,270336,747.34,46.88,1054,0.088142276,0.0003,0.2,320,-0.7124715134501457,0.36224365234375,0.8712292611598969,0.012216068804264069,0.46947393722948616,-0.048141246455634244,,
34,256,278528,748.1,48.4,1086,0.08334816,0.0003,0.2,330,-0.7068602755200117,0.3635009765625,0.8879321441054344,0.014619119465351105,0.4201947406574618,-0.0473231958138058,,
,,280000,,,,0.08803506,0.0003,0.2,340,-0.7127570334356278,0.3634765625,0.8754904270172119,0.10422498732805252,0.4521562981943134,-0.046443899779114874,60.0,763.2
35,255,286720,756.68,51.76,1120,,,,,,,,,,,,
