time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/explained_variance,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/loss,train/value_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
26,430.14102564102564,1,8192,309,7.153846153846154,,,,,,,,,,,,
61,429.29,2,16384,267,8.02,-0.0691230297088623,0.0003,-1.5985303692519666,-0.01603983810528007,0.011679673,0.2,0.1647705078125,0.056971728801727295,0.2504623647721019,10,,
94,388.37,3,24576,261,8.99,0.28933608531951904,0.0003,-1.5715805396437645,-0.02186458539435989,0.01169998,0.2,0.17730712890625,0.11138112097978592,0.3058536221156828,20,,
126,382.62,4,32768,258,10.0,0.43205153942108154,0.0003,-1.5373185072094202,-0.02599997917204746,0.0127823,0.2,0.19461669921875,0.15891143679618835,0.3355933378101327,30,,
,,,40000,,,0.47512316703796387,0.0003,-1.5070654282346367,-0.03097243457305012,0.014593655,0.2,0.1957763671875,0.1503821462392807,0.38888951966073365,40,449.6,10.6
161,386.3,5,40960,253,10.91,,,,,,,,,,,,
195,376.99,6,49152,251,11.76,0.5084580779075623,0.0003,-1.4691178910434246,-0.032913663182989696,0.018385135,0.2,0.217431640625,0.13748803734779358,0.41930321424733846,50,,
230,392.28,7,57344,248,13.15,0.4941413998603821,0.0003,-1.4210366145707667,-0.038320612480674754,0.022912953,0.2,0.267041015625,0.17088383436203003,0.49926197272725403,60,,
264,408.97,8,65536,248,14.45,0.476524293422699,0.0003,-1.3642377864569426,-0.03878267556428909,0.024077797,0.2,0.2870849609375,0.2767513394355774,0.578468110691756,70,,
298,439.52,9,73728,247,15.55,0.4549364447593689,0.0003,-1.3402664025314153,-0.04075162908739003,0.02744544,0.2,0.299072265625,0.2288702428340912,0.64948979918845,80,,
,,,80000,,,0.5054754912853241,0.0003,-1.2940346715971827,-0.04545119413996872,0.031815592,0.2,0.3265380859375,0.1738576591014862,0.7592020170297473,90,611.2,25.2
334,461.45,10,81920,245,17.58,,,,,,,,,,,,
366,503.66,11,90112,245,20.25,0.5344039797782898,0.0003,-1.2644393836148082,-0.04037789308204083,0.033683065,0.2,0.31868896484375,0.2802479565143585,0.8172363113146275,100,,
398,537.52,12,98304,246,22.29,0.6330986320972443,0.0003,-1.2142389258369803,-0.04475690434410353,0.03640667,0.2,0.34708251953125,0.2300887256860733,0.7370714981807396,110,,
431,562.0,13,106496,246,24.16,0.6371278464794159,0.0003,-1.1890129295177758,-0.0451124692481244,0.03880424,0.2,0.3533203125,0.3238458037376404,0.9227429534541443,120,,
464,598.6,14,114688,246,26.6,0.6773754954338074,0.0003,-1.1452581241726876,-0.04619734507141402,0.04048387,0.2,0.3603759765625,0.24807168543338776,0.8440124203683809,130,,
,,,120000,,,0.7120542824268341,0.0003,-1.1272137621883302,-0.0459217308278312,0.041659683,0.2,0.37528076171875,0.243245929479599,0.7688126296969131,140,623.6,33.2
501,621.98,15,122880,245,28.46,,,,,,,,,,,,
533,628.48,16,131072,245,29.68,0.7473440766334534,0.0003,-1.0746029283851386,-0.04581478471736773,0.04803876,0.2,0.3728759765625,0.22767235338687897,0.8343889223178849,150,,
568,641.13,17,139264,245,30.48,0.73854199051857,0.0003,-1.024448689678684,-0.04623425720856176,0.050916784,0.2,0.36851806640625,0.20265880227088928,0.8183823497034609,160,,
602,667.98,18,147456,244,32.48,0.7864001840353012,0.0003,-1.010525547573343,-0.044471475838508925,0.052382357,0.2,0.3694091796875,0.17875170707702637,0.6681441711029038,170,,
636,708.93,19,155648,244,33.73,0.7834764719009399,0.0003,-0.9863338404800743,-0.04238326562335715,0.05832803,0.2,0.3690673828125,0.20509016513824463,0.8011174512794241,180,,
,,,160000,,,0.8109503835439682,0.0003,-0.9861839026212692,-0.046237532374289,0.055408593,0.2,0.3805419921875,0.1350547969341278,0.7153285845415667,190,751.0,39.2
671,734.76,20,163840,244,33.83,,,,,,,,,,,,
703,738.42,21,172032,244,35.52,0.8138434588909149,0.0003,-0.9537600005976856,-0.04610194699052954,0.061412748,0.2,0.3914306640625,0.22142691910266876,0.7272132776561193,200,,
736,726.53,22,180224,244,36.4,0.834251657128334,0.0003,-0.9411514758132398,-0.04983453633612953,0.0642412,0.2,0.390966796875,0.14679494500160217,0.6084947489667684,210,,
768,725.12,23,188416,245,37.05,0.7907069474458694,0.0003,-0.9014290973078459,-0.042537949441612,0.06947863,0.2,0.37730712890625,0.23889605700969696,0.7660813431954011,220,,
799,730.32,24,196608,245,38.81,0.8254513740539551,0.0003,-0.8698667852208019,-0.04258018738764804,0.06930421,0.2,0.389501953125,0.3825554847717285,0.7039955542306415,230,,
