Model,Steps,BestMeanReward,ClockTime
a2c,160000,604.0,2023-04-25 16:39:27.863788
a2c,320000,756.0,2023-04-25 16:42:19.373225
a2c,480000,842.0,2023-04-25 16:45:12.870664
a2c,640000,882.0,2023-04-25 16:48:01.743039
a2c,800000,1212.0,2023-04-25 16:50:49.107127
a2c,960000,1276.0,2023-04-25 16:53:34.975692
a2c,1600000,1548.0,2023-04-25 17:04:57.829746
a2c,1760000,1796.0,2023-04-25 17:07:51.433974
a2c,2080000,2336.0,2023-04-25 17:13:32.199285
a2c,3200000,2648.0,2023-04-25 17:33:56.722179
a2c,4320000,2798.0,2023-04-25 17:53:35.580708
a2c,5600000,2986.0,2023-04-25 18:16:01.926909
a2c,6240000,3392.0,2023-04-25 18:28:04.239915
a2c,6400000,3594.0,2023-04-25 18:30:51.445940
a2c,7200000,5020.0,2023-04-25 18:46:07.618505
a2c,9120000,5472.0,2023-04-25 19:23:15.732330
