Model,Steps,BestMeanReward,ClockTime
a2c,160000,326.0,2023-04-26 18:06:56.943423
a2c,320000,704.0,2023-04-26 18:09:38.835598
a2c,640000,1036.0,2023-04-26 18:15:01.340024
a2c,1440000,1346.0,2023-04-26 18:28:30.995377
a2c,3840000,1636.0,2023-04-26 19:09:41.239688
a2c,8960000,2008.0,2023-04-26 20:36:27.286181
a2c,10080000,2106.0,2023-04-26 20:56:05.028564
a2c,13120000,2302.0,2023-04-26 21:49:52.559692
a2c,14880000,2524.0,2023-04-26 22:21:24.692723
a2c,20960000,2684.0,2023-04-27 00:11:28.066708
a2c,22400000,2720.0,2023-04-27 00:37:49.393695
a2c,22560000,2916.0,2023-04-27 00:40:46.690445
a2c,24640000,2944.0,2023-04-27 01:18:35.389327
a2c,50720000,3494.0,2023-04-27 09:17:07.248499
a2c,54240000,3830.0,2023-04-27 10:21:04.013481
a2c,56480000,3936.0,2023-04-27 11:02:46.168152
a2c,59200000,4104.0,2023-04-27 11:53:23.593774
a2c,62080000,4334.0,2023-04-27 12:46:46.391764
a2c,73920000,4396.0,2023-04-27 16:23:29.066714
a2c,79680000,4450.0,2023-04-27 18:09:20.544224
a2c,83360000,4474.0,2023-04-27 19:17:22.080643
a2c,88480000,4508.0,2023-04-27 20:50:55.174436
a2c,89280000,4546.0,2023-04-27 21:05:29.280263
