train/n_updates,time/time_elapsed,train/learning_rate,train/explained_variance,train/entropy_loss,time/iterations,rollout/ep_rew_mean,time/fps,train/policy_loss,train/value_loss,time/total_timesteps,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
99,8,0.0007,-0.028995275497436523,-2.197218894958496,100,211.66666666666666,971,0.43028998374938965,0.2085207998752594,8000,456.1666666666667,,
199,16,0.0007,-0.004979729652404785,-2.197211980819702,200,241.4814814814815,982,0.2756008505821228,0.15891505777835846,16000,488.9259259259259,,
299,23,0.0007,-0.030367136001586914,-2.1970393657684326,300,247.55555555555554,1002,0.03802761062979698,0.0789005383849144,24000,494.77777777777777,,
399,31,0.0007,0.023704588413238525,-2.196132183074951,400,252.5,1002,0.3099665343761444,0.23673033714294434,32000,498.3666666666667,,
499,39,0.0007,0.01496058702468872,-2.190140962600708,500,254.41558441558442,1022,0.06198747083544731,0.14980660378932953,40000,496.7402597402597,,
599,46,0.0007,0.03637760877609253,-2.1772243976593018,600,256.9230769230769,1040,-0.5668801665306091,1.2131203413009644,48000,498.4725274725275,,
699,54,0.0007,0.005495667457580566,-2.114978313446045,700,264.9,1028,-0.0957445427775383,1.0961889028549194,56000,507.08,,
799,62,0.0007,0.08558875322341919,-2.0462467670440674,800,287.7,1019,0.21249441802501678,0.19516777992248535,64000,517.14,,
899,70,0.0007,-0.03698539733886719,-2.029639482498169,900,343.1,1016,-0.009919925592839718,0.08038023114204407,72000,546.02,,
999,78,0.0007,0.05799192190170288,-2.031932830810547,1000,391.0,1018,0.014411980286240578,0.41017094254493713,80000,569.32,,
1099,86,0.0007,0.19743239879608154,-1.5733463764190674,1100,430.5,1016,0.06142539903521538,0.16448739171028137,88000,580.96,,
1199,94,0.0007,0.23129481077194214,-2.041064500808716,1200,464.2,1013,0.4422782063484192,0.2916441857814789,96000,600.76,,
1299,101,0.0007,0.6176265478134155,-2.093036413192749,1300,507.1,1027,-0.012004384770989418,0.034404344856739044,104000,618.44,,
1399,109,0.0007,0.32807624340057373,-1.040038824081421,1400,536.8,1024,-0.5704574584960938,2.490307569503784,112000,636.98,,
1499,117,0.0007,0.9621271900832653,-1.7120558023452759,1500,572.2,1020,-0.17076940834522247,0.10581371933221817,120000,653.32,,
1599,125,0.0007,0.9502731300890446,-1.8203487396240234,1600,612.0,1019,0.09029227495193481,0.12834332883358002,128000,665.1,,
1699,132,0.0007,0.9533685520291328,-1.441482424736023,1700,613.7,1026,0.17222149670124054,0.21553798019886017,136000,666.96,,
1799,140,0.0007,0.9876711303368211,-1.3055851459503174,1800,591.6,1023,0.040782034397125244,0.1624298095703125,144000,655.02,,
1899,148,0.0007,0.9800461772829294,-1.4698679447174072,1900,563.9,1021,-0.14924292266368866,0.03267018124461174,152000,646.2,,
1999,,0.0007,0.9711108487099409,-2.016740560531616,,,,-0.029076868668198586,0.12299153953790665,160000,,326.0,499.8
,161,,,,2000,526.2,992,,,160000,641.28,,
2099,169,0.0007,0.8240663707256317,-1.8584797382354736,2100,502.2,991,0.0459582582116127,0.6023065447807312,168000,633.88,,
2199,177,0.0007,0.8485429137945175,-1.9373724460601807,2200,527.4,990,0.014255679212510586,0.32391563057899475,176000,637.24,,
2299,185,0.0007,0.9458510912954807,-1.4063007831573486,2300,540.0,990,0.12710635364055634,0.28995075821876526,184000,640.9,,
2399,192,0.0007,0.9679503850638866,-1.263714075088501,2400,525.3,997,-0.22550912201404572,0.4368564784526825,192000,624.28,,
2499,200,0.0007,0.9621528014540672,-1.7629928588867188,2500,514.4,996,0.007888865657150745,0.14506931602954865,200000,624.8,,
2599,208,0.0007,0.9397844038903713,-1.7321817874908447,2600,536.5,996,-0.49207383394241333,0.6941712498664856,208000,639.14,,
2699,216,0.0007,0.9876793539151549,-1.6735471487045288,2700,574.7,997,0.024252301082015038,0.19336700439453125,216000,649.38,,
2799,223,0.0007,0.8810508847236633,-1.6610296964645386,2800,607.4,1001,-0.38114532828330994,1.3284730911254883,224000,653.86,,
2899,231,0.0007,0.8336862623691559,-1.9682047367095947,2900,656.9,1000,0.6974460482597351,1.3157156705856323,232000,662.68,,
2999,239,0.0007,0.9606004282832146,-2.0405900478363037,3000,642.5,1000,-0.10595815628767014,0.153827965259552,240000,655.34,,
3099,247,0.0007,0.9248077571392059,-1.7145498991012573,3100,641.0,1002,0.13496844470500946,0.5635117292404175,248000,656.9,,
3199,255,0.0007,0.8605123609304428,-2.143465518951416,3200,625.9,1003,0.19152501225471497,0.1849185824394226,256000,652.6,,
3299,263,0.0007,0.9269382506608963,-1.8136943578720093,3300,615.5,1002,0.18280905485153198,0.4431825578212738,264000,644.22,,
3399,271,0.0007,0.7230969965457916,-2.065387487411499,3400,603.9,1001,-0.007023665588349104,0.1770285815000534,272000,647.44,,
3499,278,0.0007,0.9148056581616402,-2.0403754711151123,3500,595.3,1004,0.010099152103066444,0.07773176580667496,280000,653.32,,
3599,286,0.0007,0.955864917486906,-1.9039338827133179,3600,583.8,1004,-0.0887572392821312,0.21724776923656464,288000,648.26,,
3699,295,0.0007,0.8247785121202469,-2.1366279125213623,3700,550.1,1003,-0.03566517308354378,0.05495014414191246,296000,644.92,,
3799,303,0.0007,0.9583195298910141,-2.0825185775756836,3800,558.2,1002,-0.20363624393939972,0.14027027785778046,304000,651.18,,
3899,310,0.0007,0.882263295352459,-1.9473613500595093,3900,546.2,1005,0.14945641160011292,0.38248810172080994,312000,648.68,,
3999,,0.0007,0.9797259792685509,-1.9332141876220703,,,,-0.10688269138336182,0.07938634604215622,320000,,704.0,659.4
,323,,,,4000,554.3,990,,,320000,646.22,,
4099,331,0.0007,0.8740180283784866,-1.9294277429580688,4100,546.3,990,0.09108420461416245,0.4480830132961273,328000,641.62,,
4199,338,0.0007,0.9564498700201511,-1.8006467819213867,4200,563.1,992,-0.10563081502914429,0.29179295897483826,336000,636.02,,
4299,345,0.0007,0.9724914096295834,-1.8806113004684448,4300,578.7,994,0.15690241754055023,0.28875628113746643,344000,633.56,,
4399,352,0.0007,0.8460210114717484,-1.9828884601593018,4400,568.4,997,-0.04758533462882042,0.1907223016023636,352000,638.96,,
4499,361,0.0007,0.9882213929668069,-1.6517866849899292,4500,602.3,996,0.12249010056257248,0.2684025168418884,360000,653.64,,
4599,368,0.0007,0.9612758494913578,-2.0110440254211426,4600,614.3,999,0.3786686360836029,0.2157401293516159,368000,653.46,,
4699,376,0.0007,0.053353846073150635,-1.4887423515319824,4700,617.6,999,-0.9071807265281677,3.7553365230560303,376000,640.72,,
4799,384,0.0007,0.8862092792987823,-1.8960789442062378,4800,604.6,999,-0.118372343480587,0.7813908457756042,384000,641.28,,
4899,392,0.0007,0.9301638901233673,-1.8630173206329346,4900,618.1,998,0.21938982605934143,0.2542337477207184,392000,645.36,,
4999,399,0.0007,0.5815948843955994,-1.4530048370361328,5000,595.6,1001,-0.649815022945404,2.42474102973938,400000,634.94,,
5099,407,0.0007,0.4459514021873474,-1.324234962463379,5100,634.0,1001,-0.223068505525589,2.638132333755493,408000,635.88,,
5199,415,0.0007,0.7339930832386017,-1.845337152481079,5200,614.2,1001,0.39747199416160583,0.5591369867324829,416000,621.84,,
5299,423,0.0007,0.8110053241252899,-1.2761120796203613,5300,578.1,1000,0.03181905671954155,0.09652957320213318,424000,603.5,,
5399,430,0.0007,0.9089628458023071,-1.986362338066101,5400,570.6,1003,0.2999412417411804,0.2543182075023651,432000,605.58,,
5499,438,0.0007,0.4416952133178711,-1.3845735788345337,5500,577.5,1003,-0.025745023041963577,0.6555903553962708,440000,614.2,,
5599,446,0.0007,0.7278084754943848,-1.5379127264022827,5600,587.9,1002,-0.13395600020885468,0.3825969696044922,448000,619.2,,
5699,455,0.0007,0.9455389641225338,-1.7979487180709839,5700,557.0,1001,0.12229108810424805,0.17983676493167877,456000,620.74,,
5799,461,0.0007,0.6256823241710663,-1.8113964796066284,5800,551.7,1005,-0.2550734579563141,0.8492743372917175,464000,611.78,,
5899,469,0.0007,0.9239265024662018,-1.8334941864013672,5900,529.2,1004,-0.21816475689411163,0.14791786670684814,472000,613.44,,
5999,,0.0007,0.9622064456343651,-1.4982990026474,,,,0.3566359281539917,0.48905619978904724,480000,,420.0,642.2
,485,,,,6000,526.9,989,,,480000,611.78,,
6099,491,0.0007,0.9540863297879696,-1.9836889505386353,6100,516.3,993,0.07915275543928146,0.17393939197063446,488000,614.8,,
6199,499,0.0007,0.8095207214355469,-1.813501238822937,6200,493.7,992,-0.7503520250320435,1.054063320159912,496000,615.8,,
6299,508,0.0007,0.957908321171999,-2.0383992195129395,6300,484.4,992,0.09026322513818741,0.12682001292705536,504000,605.56,,
6399,516,0.0007,0.9660316444933414,-1.4861347675323486,6400,494.4,992,0.051538195461034775,0.20400209724903107,512000,607.86,,
6499,522,0.0007,0.8340272158384323,-1.9879591464996338,6500,497.0,994,-0.03449518606066704,0.26744887232780457,520000,612.3,,
6599,531,0.0007,0.992862316314131,-1.655314326286316,6600,508.4,994,-0.2759467661380768,0.09096550941467285,528000,619.3,,
6699,539,0.0007,0.7929437011480331,-1.1911174058914185,6700,512.6,993,-0.07565177232027054,0.3542478084564209,536000,626.24,,
6799,546,0.0007,0.9493352435529232,-1.7014856338500977,6800,556.1,994,0.0980798527598381,0.11475852876901627,544000,627.02,,
6899,554,0.0007,0.8812041580677032,-1.7026325464248657,6900,597.1,995,-0.10276640951633453,0.23863308131694794,552000,639.24,,
6999,562,0.0007,0.8943847864866257,-1.469895839691162,7000,613.9,995,0.24738894402980804,0.41022416949272156,560000,639.76,,
7099,570,0.0007,0.6639860272407532,-1.440019130706787,7100,651.0,995,0.24254830181598663,2.1521718502044678,568000,650.7,,
7199,578,0.0007,0.978413064032793,-1.5386940240859985,7200,670.6,996,-0.09825313091278076,0.24438424408435822,576000,644.52,,
7299,585,0.0007,0.925640381872654,-1.7626402378082275,7300,686.6,996,0.29430049657821655,1.039960265159607,584000,642.22,,
7399,594,0.0007,0.9748040065169334,-1.8381599187850952,7400,707.1,996,-0.06519203633069992,0.2863685190677643,592000,648.24,,
7499,602,0.0007,0.9001084119081497,-1.5429023504257202,7500,719.1,995,0.019907493144273758,0.24222636222839355,600000,645.56,,
7599,609,0.0007,0.6433559358119965,-1.598889946937561,7600,671.0,997,0.02117103897035122,0.8220903277397156,608000,626.24,,
7699,617,0.0007,0.7327114641666412,-1.0988049507141113,7700,661.3,997,0.00493397144600749,0.31882721185684204,616000,619.76,,
7799,625,0.0007,0.8982520699501038,-1.0136295557022095,7800,667.2,997,0.23209528625011444,0.5177242159843445,624000,611.94,,
7899,634,0.0007,0.8283390551805496,-1.7831007242202759,7900,652.6,996,-0.06369926780462265,0.16566194593906403,632000,618.36,,
7999,,0.0007,0.8114848732948303,-1.7377777099609375,,,,-0.08947839587926865,0.724423885345459,640000,,1036.0,681.8
,645,,,,8000,657.3,991,,,640000,623.64,,
8099,653,0.0007,0.9468325190246105,-1.7833340167999268,8100,634.1,991,-0.0018292978638783097,0.13333730399608612,648000,614.7,,
8199,662,0.0007,0.7314286231994629,-1.5242072343826294,8200,652.3,990,0.35773882269859314,1.2080024480819702,656000,614.6,,
8299,670,0.0007,0.9745479021221399,-1.5346227884292603,8300,644.2,990,0.2999844551086426,0.4476024806499481,664000,625.28,,
8399,678,0.0007,0.9084161296486855,-1.7079066038131714,8400,665.9,990,0.10008609294891357,0.5961031317710876,672000,627.52,,
8499,686,0.0007,0.945260938256979,-1.8876246213912964,8500,683.1,990,0.021248318254947662,0.30536818504333496,680000,635.74,,
8599,694,0.0007,0.788604199886322,-1.3939915895462036,8600,672.6,990,0.12202026695013046,0.4346030354499817,688000,627.24,,
8699,702,0.0007,0.5936477482318878,-1.9834082126617432,8700,673.7,991,-0.29775652289390564,0.5406593084335327,696000,624.44,,
8799,710,0.0007,0.17562931776046753,-1.6639833450317383,8800,666.1,991,-0.840626060962677,1.8966296911239624,704000,615.4,,
8899,718,0.0007,0.7015866339206696,-1.504036545753479,8900,677.7,991,0.14569111168384552,1.4152487516403198,712000,628.2,,
8999,726,0.0007,0.5054526329040527,-1.8362125158309937,9000,645.9,991,0.7027838826179504,2.2820546627044678,720000,609.78,,
9099,732,0.0007,0.32319462299346924,-1.834093451499939,9100,634.9,993,-0.18791460990905762,1.7183681726455688,728000,600.42,,
9199,740,0.0007,0.89801025390625,-1.535646677017212,9200,599.0,993,0.2804817855358124,0.3047449588775635,736000,594.38,,
9299,748,0.0007,0.937302976846695,-1.670404076576233,9300,627.2,993,0.05453770235180855,0.0988975241780281,744000,609.18,,
9399,756,0.0007,0.9330674335360527,-1.7471580505371094,9400,598.1,993,-0.0939410850405693,0.2508755922317505,752000,600.3,,
9499,763,0.0007,0.7483466863632202,-1.9486992359161377,9500,604.6,995,0.19294993579387665,0.37643665075302124,760000,603.78,,
9599,771,0.0007,0.8728761374950409,-1.7019487619400024,9600,600.8,995,-0.11337585747241974,0.18763940036296844,768000,607.92,,
9699,779,0.0007,0.8776393607258797,-1.4478404521942139,9700,607.8,995,-0.7908584475517273,1.5717393159866333,776000,604.8,,
9799,786,0.0007,0.795121967792511,-1.534355640411377,9800,640.5,996,0.06656675785779953,1.302828073501587,784000,610.82,,
9899,793,0.0007,0.8289876878261566,-1.6875931024551392,9900,661.7,997,-0.24230432510375977,1.4648709297180176,792000,615.62,,
9999,,0.0007,0.7540862709283829,-1.3219760656356812,,,,0.14783363044261932,1.14120614528656,800000,,542.0,565.0
,807,,,,10000,667.7,990,,,800000,615.02,,
10099,815,0.0007,0.9500049836933613,-2.0129990577697754,10100,631.8,990,0.20080362260341644,0.2798609435558319,808000,600.24,,
10199,822,0.0007,0.9641464278101921,-1.5401042699813843,10200,608.8,992,-0.10825624316930771,0.34278422594070435,816000,584.8,,
10299,830,0.0007,0.9385447390377522,-1.5974159240722656,10300,614.1,992,0.01050686277449131,0.24080093204975128,824000,578.06,,
10399,838,0.0007,0.9365741088986397,-1.2502281665802002,10400,653.0,992,0.13198138773441315,0.31562837958335876,832000,586.26,,
10499,846,0.0007,0.9108467847108841,-0.9469025731086731,10500,671.4,992,0.034612130373716354,0.818132221698761,840000,585.0,,
10599,852,0.0007,0.9101090729236603,-1.8781284093856812,10600,708.8,994,0.14676928520202637,0.12471506744623184,848000,596.5,,
10699,860,0.0007,0.8933008462190628,-1.835336685180664,10700,746.1,994,0.047710612416267395,0.3627075254917145,856000,601.4,,
10799,868,0.0007,0.9414975456893444,-1.8307777643203735,10800,788.4,994,-0.20418250560760498,0.19223527610301971,864000,615.94,,
10899,876,0.0007,0.9710057359188795,-1.416239619255066,10900,819.9,994,-0.17168781161308289,0.20496582984924316,872000,625.48,,
10999,883,0.0007,0.9462097696959972,-1.2461061477661133,11000,815.6,996,0.12278570979833603,0.2776889204978943,880000,631.38,,
11099,891,0.0007,0.5982904136180878,-1.8699766397476196,11100,807.9,996,-0.3382206857204437,0.916989266872406,888000,639.22,,
11199,899,0.0007,0.9804118629544973,-1.800025224685669,11200,772.6,996,-0.13622580468654633,0.09191853553056717,896000,632.72,,
11299,906,0.0007,0.894090935587883,-1.6436861753463745,11300,708.6,996,-0.47562742233276367,0.5149247050285339,904000,630.62,,
11399,913,0.0007,0.6260505616664886,-2.073349714279175,11400,662.9,997,0.6529392600059509,0.7554147839546204,912000,626.08,,
11499,921,0.0007,0.8277273327112198,-1.435166358947754,11500,652.5,997,0.4703565537929535,1.2982248067855835,920000,615.44,,
11599,929,0.0007,0.9674073085188866,-1.6197566986083984,11600,664.0,997,-0.23022888600826263,0.26633182168006897,928000,619.62,,
11699,937,0.0007,0.817388266324997,-1.3778517246246338,11700,667.2,998,0.3312684893608093,1.5295569896697998,936000,611.88,,
11799,944,0.0007,0.9313560798764229,-1.508162498474121,11800,681.9,999,0.04333728179335594,0.20984359085559845,944000,618.2,,
11899,952,0.0007,0.975742781534791,-1.383588433265686,11900,709.3,999,-0.03770513832569122,0.21596303582191467,952000,625.26,,
11999,,0.0007,0.9771428219974041,-1.48944890499115,,,,-0.0276830792427063,0.22032694518566132,960000,,654.0,593.0
,966,,,,12000,769.4,993,,,960000,626.18,,
12099,973,0.0007,0.8816312924027443,-1.6566765308380127,12100,747.7,994,-0.2767787575721741,0.9087590575218201,968000,617.46,,
12199,981,0.0007,0.9728403575718403,-1.4327119588851929,12200,746.2,994,-0.08902242034673691,0.396732896566391,976000,620.32,,
12299,989,0.0007,0.9528299197554588,-1.8581475019454956,12300,714.2,994,0.16426098346710205,0.2187175750732422,984000,612.58,,
12399,997,0.0007,0.8103263974189758,-1.3623358011245728,12400,717.6,994,-0.04248298332095146,2.713153600692749,992000,610.26,,
12499,1004,0.0007,0.9585337117314339,-1.8734368085861206,12500,713.2,995,0.231634259223938,0.24875037372112274,1000000,604.6,,
12599,1012,0.0007,0.7750974297523499,-1.579056978225708,12600,710.6,995,-0.05743810534477234,1.307077169418335,1008000,607.52,,
12699,1020,0.0007,0.8436378240585327,-1.7247419357299805,12700,671.7,995,0.4312499165534973,2.730342388153076,1016000,608.36,,
12799,1027,0.0007,0.8513822704553604,-1.294193983078003,12800,674.8,996,-0.3490131199359894,1.737084984779358,1024000,606.12,,
12899,1034,0.0007,0.9627595916390419,-1.6834579706192017,12900,661.2,997,0.32994934916496277,0.41280460357666016,1032000,604.0,,
12999,1042,0.0007,0.8920019865036011,-1.6318082809448242,13000,678.9,997,-0.4451542794704437,0.7659382820129395,1040000,615.72,,
13099,1050,0.0007,0.9250914603471756,-1.485960841178894,13100,674.7,997,-0.010753229260444641,0.5682355165481567,1048000,615.42,,
13199,1057,0.0007,0.7972147464752197,-1.213357925415039,13200,692.5,998,0.16234634816646576,2.101147413253784,1056000,621.96,,
13299,1065,0.0007,0.9694601576775312,-1.4137811660766602,13300,707.8,998,0.33980223536491394,0.4636252522468567,1064000,632.66,,
13399,1073,0.0007,0.9173284471035004,-1.6313532590866089,13400,726.4,998,0.11529228836297989,0.31869566440582275,1072000,640.38,,
13499,1081,0.0007,0.9666920565068722,-1.5445846319198608,13500,679.1,998,0.06584402173757553,0.21892867982387543,1080000,625.0,,
13599,1089,0.0007,0.8626386821269989,-1.7869186401367188,13600,716.2,998,-0.12019282579421997,0.33669397234916687,1088000,641.38,,
13699,1097,0.0007,0.9009076654911041,-1.6444953680038452,13700,711.6,998,0.19491760432720184,0.26985597610473633,1096000,636.12,,
13799,1105,0.0007,0.9774893429130316,-1.4326282739639282,13800,722.5,998,-0.03582433611154556,0.20621661841869354,1104000,641.98,,
13899,1114,0.0007,0.9192995578050613,-1.6101888418197632,13900,754.7,998,-0.11548935621976852,0.37040311098098755,1112000,657.98,,
13999,,0.0007,0.9415453486144543,-1.0472869873046875,,,,0.17160426080226898,0.3088551461696625,1120000,,678.0,617.8
,1127,,,,14000,743.3,993,,,1120000,646.06,,
