time/total_timesteps,time/fps,train/n_updates,train/explained_variance,train/entropy_loss,train/policy_loss,time/iterations,rollout/ep_len_mean,train/learning_rate,train/value_loss,time/time_elapsed,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
2000,259,99,0.06923747062683105,-0.948689877986908,-0.0522940419614315,100,357.5238095238095,0.0007,1.890132188796997,7,10.285714285714286,,
4000,272,199,0.015769243240356445,-0.7921823859214783,-0.1996372938156128,200,362.35555555555555,0.0007,0.9168282747268677,14,11.133333333333333,,
6000,275,299,0.5299527049064636,-1.3077919483184814,-0.01663077436387539,300,349.7638888888889,0.0007,0.011156118474900723,21,10.76388888888889,,
8000,277,399,0.07389384508132935,-1.0307713747024536,-0.2705484628677368,400,351.8421052631579,0.0007,0.5432047247886658,28,10.884210526315789,,
10000,279,499,0.31270843744277954,-0.8739048838615417,0.14897789061069489,500,347.54,0.0007,0.42029163241386414,35,11.48,,
12000,279,599,0.1314101219177246,-0.7277534604072571,0.18215039372444153,600,350.08,0.0007,0.6828033328056335,42,11.91,,
14000,279,699,0.06630218029022217,-0.8011713027954102,0.05207062512636185,700,353.59,0.0007,0.461498886346817,50,12.13,,
16000,279,799,0.11700499057769775,-0.7479341626167297,-0.09100909531116486,800,359.9,0.0007,0.1531440168619156,57,12.75,,
18000,280,899,0.1927850842475891,-0.7053122520446777,-0.85453861951828,900,365.52,0.0007,5.786415100097656,64,12.89,,
20000,279,999,0.26590651273727417,-0.9653491973876953,-0.026615692302584648,1000,366.59,0.0007,0.938497006893158,71,12.84,,
22000,280,1099,-0.7147774696350098,-0.8283244967460632,0.04051513597369194,1100,372.53,0.0007,0.3896614611148834,78,13.18,,
24000,280,1199,-0.38809776306152344,-0.8839670419692993,0.22623756527900696,1200,381.4,0.0007,2.091343641281128,85,13.68,,
26000,279,1299,-0.03907120227813721,-0.9651390910148621,-0.38196563720703125,1300,378.48,0.0007,0.4536612629890442,92,13.3,,
28000,279,1399,0.2596327066421509,-1.0437228679656982,-0.4975244104862213,1400,377.34,0.0007,1.1345833539962769,100,13.43,,
30000,280,1499,0.23101699352264404,-0.9415642023086548,-0.38800621032714844,1500,374.63,0.0007,0.8957619667053223,106,13.49,,
32000,280,1599,-0.02218341827392578,-1.086591362953186,-0.013296212069690228,1600,370.19,0.0007,0.4753040373325348,114,13.32,,
34000,280,1699,0.4595450758934021,-0.993181049823761,0.20066221058368683,1700,373.74,0.0007,0.5573267340660095,121,13.72,,
36000,281,1799,0.6990469694137573,-0.924325168132782,0.1421082466840744,1800,379.07,0.0007,0.16008372604846954,128,14.45,,
38000,281,1899,0.7148900628089905,-0.931151807308197,0.1594277173280716,1900,387.39,0.0007,0.1677180677652359,135,14.76,,
40000,,1999,0.36963850259780884,-1.1038410663604736,-0.29154154658317566,,,0.0007,0.5714660882949829,,,15.0,480.8
40000,278,,,,,2000,391.52,,,143,14.94,,
42000,278,2099,0.10892552137374878,-1.1401602029800415,-0.2399735003709793,2100,399.68,0.0007,0.4219103753566742,150,15.11,,
44000,278,2199,0.3898053765296936,-0.9176222085952759,0.33557483553886414,2200,404.18,0.0007,1.3039838075637817,157,14.73,,
46000,279,2299,0.23431771993637085,-0.7178801894187927,-0.7856030464172363,2300,408.81,0.0007,3.651906728744507,164,14.85,,
48000,279,2399,-0.0007117986679077148,-0.8473234176635742,0.11390483379364014,2400,414.95,0.0007,1.9358423948287964,171,15.37,,
50000,279,2499,0.051227569580078125,-0.8690113425254822,0.027543915435671806,2500,423.25,0.0007,0.37310007214546204,178,16.45,,
52000,280,2599,0.5663815438747406,-0.6776098012924194,-0.5778159499168396,2600,432.85,0.0007,1.8013241291046143,185,16.83,,
54000,280,2699,-0.10555577278137207,-0.6851510405540466,-1.4536972045898438,2700,445.89,0.0007,5.477280139923096,192,17.61,,
56000,281,2799,0.531489223241806,-0.6441497802734375,-1.3618614673614502,2800,461.61,0.0007,5.509522438049316,199,18.47,,
58000,281,2899,0.29699939489364624,-0.6979685425758362,-0.7778120040893555,2900,467.02,0.0007,1.3988803625106812,206,18.42,,
60000,281,2999,0.5625939965248108,-0.8047380447387695,-0.2970460057258606,3000,469.51,0.0007,1.2683448791503906,212,18.39,,
62000,282,3099,-0.06621956825256348,-0.8769125938415527,-0.08532526344060898,3100,480.57,0.0007,4.467615127563477,219,18.38,,
64000,282,3199,-0.48347580432891846,-0.8145614862442017,-0.8805482983589172,3200,481.8,0.0007,6.315717697143555,226,18.71,,
66000,282,3299,0.8043718039989471,-0.5919668674468994,-0.26094546914100647,3300,484.9,0.0007,0.43741703033447266,233,18.95,,
68000,283,3399,-0.3581792116165161,-0.7227320671081543,-0.33410629630088806,3400,491.74,0.0007,3.3786659240722656,240,19.19,,
70000,283,3499,0.7222022116184235,-0.798154354095459,0.048215508460998535,3500,502.85,0.0007,0.05761440470814705,247,20.07,,
72000,283,3599,0.09841787815093994,-0.6198302507400513,0.2667398750782013,3600,507.48,0.0007,1.0102111101150513,253,20.52,,
74000,283,3699,0.1194373369216919,-0.6621827483177185,-0.6377354860305786,3700,514.05,0.0007,3.5971474647521973,260,20.96,,
76000,283,3799,0.02647465467453003,-0.7484559416770935,-1.1360810995101929,3800,521.77,0.0007,5.569965839385986,267,21.19,,
78000,284,3899,-2.0622847080230713,-0.6538349986076355,0.530493974685669,3900,522.89,0.0007,0.6562261581420898,274,21.23,,
80000,,3999,0.05703943967819214,-0.6133675575256348,0.5813636183738708,,,0.0007,1.6090599298477173,,,19.6,604.2
80000,282,,,,,4000,530.98,,,282,21.96,,
82000,282,4099,0.6867182850837708,-0.4539324939250946,0.0516226664185524,4100,532.01,0.0007,0.11571613699197769,289,21.74,,
84000,282,4199,0.2408827543258667,-0.4387930929660797,-0.008523012511432171,4200,556.98,0.0007,0.28703412413597107,297,22.56,,
86000,282,4299,-0.1793118715286255,-0.6282938122749329,-0.20497620105743408,4300,570.51,0.0007,4.798816204071045,304,23.01,,
88000,283,4399,0.06717383861541748,-0.47825589776039124,-1.5663011074066162,4400,578.45,0.0007,10.502817153930664,310,23.32,,
90000,283,4499,-2.3491921424865723,-0.6493389010429382,0.6265539526939392,4500,587.1,0.0007,0.683718740940094,316,23.63,,
92000,284,4599,-0.01963949203491211,-0.5604214072227478,0.0787222608923912,4600,595.85,0.0007,0.9895707964897156,323,23.71,,
94000,284,4699,-2.5145339965820312,-0.44567281007766724,0.20946331322193146,4700,606.31,0.0007,0.3871173560619354,330,23.54,,
96000,284,4799,0.08628231287002563,-0.5539628267288208,0.020099878311157227,4800,615.57,0.0007,3.6993019580841064,337,24.61,,
98000,284,4899,0.6948172152042389,-0.5428666472434998,0.1502368301153183,4900,616.05,0.0007,0.4341963827610016,344,24.66,,
100000,284,4999,0.3517388105392456,-0.4357174038887024,0.2521522045135498,5000,618.42,0.0007,0.7839390635490417,351,24.78,,
102000,284,5099,-0.20995235443115234,-0.26546961069107056,-0.8605746626853943,5100,624.02,0.0007,1.8821566104888916,357,24.57,,
104000,285,5199,0.02357172966003418,-0.1907273679971695,0.02308899722993374,5200,645.47,0.0007,1.9438352584838867,364,24.9,,
106000,285,5299,0.012091755867004395,-0.2996634244918823,-0.05082634836435318,5300,666.58,0.0007,0.10289838165044785,371,25.17,,
108000,285,5399,0.92362030595541,-0.2739587426185608,-0.09060262888669968,5400,693.23,0.0007,0.16566155850887299,377,25.85,,
110000,286,5499,0.4413663148880005,-0.3463366627693176,-0.43284493684768677,5500,711.89,0.0007,2.145881414413452,384,26.3,,
112000,286,5599,0.5277986526489258,-0.20917809009552002,0.6078423857688904,5600,728.5,0.0007,1.0206855535507202,391,26.85,,
114000,286,5699,0.3937839865684509,-0.2644478678703308,0.08979407697916031,5700,739.51,0.0007,0.40684080123901367,397,26.44,,
116000,286,5799,0.17970037460327148,-0.30380764603614807,-0.37170904874801636,5800,761.27,0.0007,3.658959150314331,404,27.05,,
118000,286,5899,-0.2778738737106323,-0.3901039958000183,-0.7459399104118347,5900,784.2,0.0007,8.416008949279785,411,27.64,,
120000,,5999,0.4423975348472595,-0.32810232043266296,0.06505496799945831,,,0.0007,0.4561375677585602,,,36.2,1012.2
120000,284,,,,,6000,804.0,,,421,28.0,,
122000,284,6099,0.4155369997024536,-0.26977673172950745,-0.02205444872379303,6100,827.45,0.0007,0.2772009074687958,428,28.87,,
124000,284,6199,0.7760179489850998,-0.15852080285549164,0.12860657274723053,6200,846.79,0.0007,0.9311656951904297,435,29.4,,
126000,285,6299,0.4640236496925354,-0.1647249162197113,-1.337716817855835,6300,867.09,0.0007,5.902133941650391,441,30.06,,
128000,285,6399,0.0725853443145752,-0.2218237966299057,-0.07904066145420074,6400,864.97,0.0007,3.52593731880188,448,30.44,,
130000,285,6499,0.9712974540889263,-0.12977419793605804,0.03524163365364075,6500,877.42,0.0007,0.08330170065164566,455,31.5,,
132000,285,6599,0.8011123090982437,-0.1305900663137436,-0.0023352215066552162,6600,892.42,0.0007,0.18456125259399414,461,32.23,,
134000,286,6699,0.9474145174026489,-0.1265728920698166,-0.028956769034266472,6700,909.16,0.0007,0.0978170856833458,468,32.91,,
136000,286,6799,0.8405880928039551,-0.15164799988269806,-0.02325919270515442,6800,924.63,0.0007,0.569307804107666,474,33.84,,
138000,286,6899,0.8781446442008018,-0.15843364596366882,0.04238015413284302,6900,937.73,0.0007,0.1744135469198227,481,34.71,,
140000,286,6999,0.7845241278409958,-0.10687370598316193,0.094075046479702,7000,939.64,0.0007,0.13885009288787842,488,35.59,,
142000,287,7099,0.35813331604003906,-0.2710590064525604,0.2688769996166229,7100,945.14,0.0007,0.5875326991081238,494,36.21,,
144000,287,7199,0.14322197437286377,-0.20575957000255585,-0.02017587423324585,7200,943.34,0.0007,10.559592247009277,501,36.7,,
146000,287,7299,-0.39604413509368896,-0.11412282288074493,-0.4116632640361786,7300,923.33,0.0007,1.366727352142334,508,37.21,,
148000,287,7399,0.6940349042415619,-0.22794881463050842,0.02168949693441391,7400,903.34,0.0007,0.16194675862789154,514,38.44,,
150000,287,7499,0.45998430252075195,-0.2070542871952057,-0.11666692793369293,7500,897.21,0.0007,13.444317817687988,521,38.4,,
152000,287,7599,0.5591250956058502,-0.4242006242275238,-0.12308724969625473,7600,871.99,0.0007,1.6544914245605469,528,37.61,,
154000,288,7699,0.23907840251922607,-0.13146193325519562,0.10985853523015976,7700,841.0,0.0007,10.48324203491211,534,38.0,,
156000,288,7799,0.2844448685646057,-0.2187139242887497,-0.8000562787055969,7800,842.74,0.0007,2.072082996368408,541,38.15,,
158000,288,7899,0.491436243057251,-0.18041132390499115,0.08293145149946213,7900,842.68,0.0007,1.14877188205719,547,38.22,,
160000,,7999,0.8269452154636383,-0.15158234536647797,0.09215180575847626,,,0.0007,1.1946263313293457,,,24.0,636.4
160000,287,,,,,8000,823.29,,,557,37.64,,
162000,287,8099,-0.42709267139434814,-0.17158587276935577,0.004078421741724014,8100,794.45,0.0007,0.6395766735076904,564,36.68,,
164000,287,8199,0.27651917934417725,-0.16989117860794067,0.09887848049402237,8200,794.94,0.0007,3.742577314376831,570,37.28,,
166000,287,8299,0.2633727788925171,-0.050257254391908646,0.16488853096961975,8300,787.31,0.0007,8.78775691986084,577,36.97,,
168000,287,8399,0.9789369478821754,-0.09357067942619324,0.03944207355380058,8400,788.39,0.0007,0.11972665786743164,584,36.69,,
170000,287,8499,0.29588496685028076,-0.21132242679595947,-0.9400948882102966,8500,786.07,0.0007,9.77343463897705,590,36.77,,
172000,287,8599,0.9495478346943855,-0.2675947844982147,0.03339260816574097,8600,799.16,0.0007,0.09072991460561752,597,38.8,,
174000,287,8699,0.25125449895858765,-0.10439255088567734,0.032100141048431396,8700,799.74,0.0007,2.815081834793091,604,38.49,,
176000,287,8799,0.501764178276062,-0.10575304180383682,0.022596871480345726,8800,792.72,0.0007,1.18986976146698,611,39.92,,
178000,287,8899,-0.0039681196212768555,-0.09483551979064941,-0.25529617071151733,8900,787.77,0.0007,31.388273239135742,618,40.47,,
180000,288,8999,0.9395215548574924,-0.12179899215698242,-0.05202340707182884,9000,806.79,0.0007,0.28699371218681335,623,41.35,,
182000,288,9099,0.38511109352111816,-0.13804779946804047,-0.18106277287006378,9100,836.65,0.0007,3.749758243560791,630,42.6,,
184000,288,9199,0.6299774944782257,-0.1452367901802063,-0.17376703023910522,9200,845.48,0.0007,1.5362451076507568,637,42.91,,
