rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/entropy_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/explained_variance,train/value_loss,train/clip_fraction,train/loss
7.62,1,441,32768,74,451.55,,,,,,,,,,
8.49,2,370,65536,176,409.2,-1.5969888535095378,0.0003,10,-0.01883804325834717,0.01271007,0.2,-0.04766726493835449,0.24751364058465697,0.1953033447265625,0.1651555597782135
9.71,3,337,98304,290,408.73,-1.5710791988531128,0.0003,20,-0.02628228295216104,0.014007183,0.2,0.383628785610199,0.2676620224388898,0.191180419921875,0.09688496589660645
11.87,4,333,131072,393,412.39,-1.53830307838507,0.0003,30,-0.034858573897872704,0.01856426,0.2,0.4656715989112854,0.3258059151936322,0.2453857421875,0.07379940152168274
14.41,5,334,163840,490,440.97,-1.4743951794458554,0.0003,40,-0.037095263044557215,0.022415254,0.2,0.5066958367824554,0.40527635748439933,0.2745361328125,0.1004597395658493
17.16,6,332,196608,591,469.17,-1.4153170914854853,0.0003,50,-0.03980053459545161,0.027571443,0.2,0.4754981994628906,0.5849949419061886,0.3036102294921875,0.19115062057971954
20.22,7,334,229376,686,511.63,-1.3566498732892796,0.0003,60,-0.040320327551762604,0.030576324,0.2,0.5187890231609344,0.711963145507616,0.3139862060546875,0.32116514444351196
24.77,8,335,262144,782,580.98,-1.3093390876427293,0.0003,70,-0.04092153178589797,0.035512522,0.2,0.5518952906131744,0.8324871608929243,0.3320465087890625,0.33484140038490295
28.12,9,336,294912,876,635.22,-1.2443850396899507,0.0003,80,-0.04135318282606022,0.040267825,0.2,0.5851284563541412,0.9080004963616375,0.34853515625,0.2373998463153839
29.81,10,338,327680,968,667.77,-1.2021913992241025,0.0003,90,-0.042136329408003804,0.045245603,0.2,0.687443733215332,0.8029705355409533,0.36514892578125,0.21016934514045715
32.07,11,338,360448,1063,685.07,-1.1733303489163518,0.0003,100,-0.04086243985348119,0.048317708,0.2,0.7691427767276764,0.6894659071025672,0.376531982421875,0.23551541566848755
35.95,12,339,393216,1158,696.78,-1.1065670149982907,0.0003,110,-0.041375369533307095,0.05639483,0.2,0.8062704801559448,0.6347333371493733,0.389300537109375,0.16099105775356293
35.41,13,340,425984,1251,726.51,-1.0603139331680722,0.0003,120,-0.03983727948016167,0.05881728,0.2,0.8362273871898651,0.5773560822708532,0.3822845458984375,0.1393696814775467
35.41,14,341,458752,1342,720.36,-1.0443145971628838,0.0003,130,-0.044066244378427655,0.06675307,0.2,0.871669813990593,0.46388526662194635,0.400146484375,0.06932985037565231
37.93,15,342,491520,1435,721.32,-1.0109964372240938,0.0003,140,-0.04194700862644822,0.06997611,0.2,0.876869760453701,0.4840624401724199,0.392938232421875,0.13749688863754272
39.24,16,342,524288,1530,728.04,-0.9640475644846447,0.0003,150,-0.04173399319060991,0.07533206,0.2,0.8837424963712692,0.46453757377166766,0.403485107421875,0.07922295480966568
41.99,17,343,557056,1622,755.68,-0.9442133787786589,0.0003,160,-0.041590672184065626,0.077149644,0.2,0.8879359140992165,0.48769526007963576,0.394390869140625,0.02783454954624176
41.56,18,343,589824,1714,725.71,-0.9201689279871061,0.0003,170,-0.04188454305185587,0.08014104,0.2,0.9023637473583221,0.4180757952213753,0.3982177734375,0.03140021860599518
42.18,19,343,622592,1809,739.46,-0.8975261453189887,0.0003,180,-0.042055537642318085,0.08461112,0.2,0.9029298797249794,0.45699087520333703,0.3983978271484375,0.0826803669333458
45.69,20,344,655360,1901,764.1,-0.8613974173204042,0.0003,190,-0.043598212425604285,0.09084886,0.2,0.8879058957099915,0.491284920918406,0.3975494384765625,0.04824542999267578
48.29,21,345,688128,1993,764.48,-0.8484117811312899,0.0003,200,-0.04524789297502139,0.100822754,0.2,0.8758528530597687,0.5379428443542565,0.40218505859375,0.12480336427688599
51.72,22,345,720896,2087,788.01,-0.8242916884133592,0.0003,210,-0.04448102318237943,0.10377288,0.2,0.8799619600176811,0.49783220621757207,0.403985595703125,0.05983482301235199
62.25,23,345,753664,2178,786.67,-0.8045135863008909,0.0003,220,-0.04452180125463201,0.106752336,0.2,0.8826398327946663,0.5057020129403099,0.397161865234375,0.12403357028961182
65.03,24,346,786432,2270,821.35,-0.7845160801662132,0.0003,230,-0.04679475011625982,0.11928189,0.2,0.8368868827819824,0.6805861742468551,0.4046875,0.09942981600761414
73.02,25,346,819200,2365,836.08,-0.7733379935496487,0.0003,240,-0.04600332325981071,0.12320228,0.2,0.8322528451681137,0.7295015896903351,0.4138702392578125,0.23534156382083893
