rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/clip_range,train/loss,train/clip_fraction,train/entropy_loss,train/value_loss,eval/mean_ep_length,eval/mean_reward
456.8904109589041,23,7.589041095890411,8192,1,344,,,,,,,,,,,,
408.3,55,7.74,16384,2,296,10,-0.016542029396805446,-0.03388631343841553,0.010552696,0.0003,0.2,0.09946516156196594,0.15897216796875,-1.5989688692614437,0.2857378489105031,,
396.74,84,9.01,24576,3,290,20,-0.019872638808374178,0.2795189619064331,0.011755185,0.0003,0.2,0.09420537203550339,0.15811767578125,-1.57475214721635,0.29646493872860447,,
392.89,115,10.45,32768,4,283,30,-0.024565678845101503,0.43851059675216675,0.011586186,0.0003,0.2,0.1385522037744522,0.1769287109375,-1.5495169608853758,0.3372480753809214,,
,,,40000,,,40,-0.027004560656496323,0.43655264377593994,0.014168926,0.0003,0.2,0.14394265413284302,0.19515380859375,-1.492481154575944,0.43556003748672084,745.0,7.4
383.77,148,10.9,40960,5,276,,,,,,,,,,,,
391.02,177,12.2,49152,6,276,50,-0.030348609165957895,0.441428542137146,0.016201383,0.0003,0.2,0.231245219707489,0.20858154296875,-1.4354135589674115,0.516382498992607,,
407.85,207,14.27,57344,7,276,60,-0.0320806212745083,0.4592134356498718,0.01888993,0.0003,0.2,0.1957455426454544,0.23067626953125,-1.3951546905562282,0.6044679166050628,,
431.68,236,15.73,65536,8,277,70,-0.03284552064505988,0.4325956702232361,0.01947609,0.0003,0.2,0.364284873008728,0.2377197265625,-1.349151057098061,0.6577788816299289,,
455.18,265,17.51,73728,9,277,80,-0.037688126882858344,0.47568750381469727,0.0237331,0.0003,0.2,0.2859042286872864,0.2566650390625,-1.325389085151255,0.78887421018444,,
,,,80000,,,90,-0.03724034029000904,0.4985700845718384,0.027760645,0.0003,0.2,0.2729787826538086,0.2896240234375,-1.2491253919899463,0.8195175245171413,552.8,21.2
485.09,297,19.76,81920,10,275,,,,,,,,,,,,
516.83,325,21.86,90112,11,276,100,-0.03758326360257343,0.47400468587875366,0.030107941,0.0003,0.2,0.38781434297561646,0.30623779296875,-1.2144920234568417,1.0729530789190904,,
558.11,354,24.91,98304,12,277,110,-0.03986485262503266,0.5237989723682404,0.032182075,0.0003,0.2,0.6738797426223755,0.32076416015625,-1.1688311856240035,1.1691263333428652,,
570.34,382,25.94,106496,13,278,120,-0.04072139839045121,0.5849846303462982,0.033492718,0.0003,0.2,0.3682520389556885,0.3259521484375,-1.1347233572043478,1.1591955975163728,,
571.44,411,27.31,114688,14,278,130,-0.037274788209469986,0.63459312915802,0.037149392,0.0003,0.2,0.4315643310546875,0.32276611328125,-1.0757879567332567,1.1441954116337,,
,,,120000,,,140,-0.03825484870030778,0.6892426609992981,0.040421914,0.0003,0.2,0.36660081148147583,0.332373046875,-1.0393026707228272,1.0061606791801752,590.8,28.0
583.76,441,28.04,122880,15,278,,,,,,,,,,,,
630.27,469,31.09,131072,16,278,150,-0.03585714162545628,0.6961556971073151,0.04151608,0.0003,0.2,0.29774394631385803,0.33887939453125,-1.0251083124894649,1.0494197214953602,,
663.56,498,32.91,139264,17,279,160,-0.03645668570243288,0.7042046785354614,0.04501241,0.0003,0.2,0.5572752952575684,0.35789794921875,-0.9826206236612052,0.9327808778965846,,
652.07,526,31.47,147456,18,279,170,-0.03777040787535953,0.7438980937004089,0.042436782,0.0003,0.2,0.2933956980705261,0.3384765625,-0.9537078923545778,0.8601875346619636,,
